"Designator","Comment","Footprint","LCSC"
"C1","10uF/10V/X5R","library:C_0603_1608Metric","C19702"
"C2","100nF/50V/X7R","library:C_0603_1608Metric","C14663"
"C3","22uF/25V/X5R","library:C_1206_3216Metric","C12891"
"C4","22uF/25V/X5R","library:C_1206_3216Metric","C12891"
"C5","100nF/50V/X7R","library:C_0603_1608Metric","C14663"
"C6","100nF/50V/X7R","library:C_0603_1608Metric","C14663"
"D2","PM","library:LED_0603_1608Metric","C2290"
"D3","AL","library:LED_0603_1608Metric","C2290"
"D4","TEMP","library:LED_0603_1608Metric","C2290"
"D5","TOP","library:LED_0603_1608Metric","C2290"
"D6","BOTT","library:LED_0603_1608Metric","C2290"
"D7","LED","library:LED_0603_1608Metric","C2290"
"D8","LED","library:LED_0603_1608Metric","C2290"
"D9","LED","library:LED_0603_1608Metric","C2290"
"D10","LED","library:LED_0603_1608Metric","C2290"
"D11","LED","library:LED_0603_1608Metric","C2290"
"D12","LED","library:LED_0603_1608Metric","C2290"
"D13","LED","library:LED_0603_1608Metric","C2290"
"D14","LED","library:LED_0603_1608Metric","C2290"
"D15","LED","library:LED_0603_1608Metric","C2290"
"D16","LED","library:LED_0603_1608Metric","C2290"
"D17","LED","library:LED_0603_1608Metric","C2290"
"D18","LED","library:LED_0603_1608Metric","C2290"
"D19","LED","library:LED_0603_1608Metric","C2290"
"D20","LED","library:LED_0603_1608Metric","C2290"
"D21","LED","library:LED_0603_1608Metric","C2290"
"D22","LED","library:LED_0603_1608Metric","C2290"
"D23","LED","library:LED_0603_1608Metric","C2290"
"D24","LED","library:LED_0603_1608Metric","C2290"
"D25","LED","library:LED_0603_1608Metric","C2290"
"D26","LED","library:LED_0603_1608Metric","C2290"
"D27","LED","library:LED_0603_1608Metric","C2290"
"D28","LED","library:LED_0603_1608Metric","C2290"
"D29","LED","library:LED_0603_1608Metric","C2290"
"D30","LED","library:LED_0603_1608Metric","C2290"
"D31","LED","library:LED_0603_1608Metric","C2290"
"D32","LED","library:LED_0603_1608Metric","C2290"
"D33","LED","library:LED_0603_1608Metric","C2290"
"D34","LED","library:LED_0603_1608Metric","C2290"
"D35","LED","library:LED_0603_1608Metric","C2290"
"D36","LED","library:LED_0603_1608Metric","C2290"
"D37","LED","library:LED_0603_1608Metric","C2290"
"D38","LED","library:LED_0603_1608Metric","C2290"
"D39","LED","library:LED_0603_1608Metric","C2290"
"D40","LED","library:LED_0603_1608Metric","C2290"
"D41","LED","library:LED_0603_1608Metric","C2290"
"D42","LED","library:LED_0603_1608Metric","C2290"
"D43","LED","library:LED_0603_1608Metric","C2290"
"D44","LED","library:LED_0603_1608Metric","C2290"
"D45","LED","library:LED_0603_1608Metric","C2290"
"D46","LED","library:LED_0603_1608Metric","C2290"
"D47","LED","library:LED_0603_1608Metric","C2290"
"D48","LED","library:LED_0603_1608Metric","C2290"
"D49","LED","library:LED_0603_1608Metric","C2290"
"D50","LED","library:LED_0603_1608Metric","C2290"
"D51","LED","library:LED_0603_1608Metric","C2290"
"D52","LED","library:LED_0603_1608Metric","C2290"
"D53","LED","library:LED_0603_1608Metric","C2290"
"D54","LED","library:LED_0603_1608Metric","C2290"
"D55","LED","library:LED_0603_1608Metric","C2290"
"D56","LED","library:LED_0603_1608Metric","C2290"
"D57","LED","library:LED_0603_1608Metric","C2290"
"D58","LED","library:LED_0603_1608Metric","C2290"
"D59","LED","library:LED_0603_1608Metric","C2290"
"D60","LED","library:LED_0603_1608Metric","C2290"
"D61","LED","library:LED_0603_1608Metric","C2290"
"D62","LED","library:LED_0603_1608Metric","C2290"
"R1","100k","library:R_0402_1005Metric","C25741"
"R2","100k","library:R_0402_1005Metric","C25741"
"R3","100k","library:R_0402_1005Metric","C25741"
"R4","4.7k","library:R_0805_2012Metric","C17673"
"R5","R_100k","library:R_0402_1005Metric","C25741"
"R6","100R","library:R_0402_1005Metric","C25076"
"R7","100R","library:R_0402_1005Metric","C25076"
"R8","100R","library:R_0402_1005Metric","C25076"
"R9","100R","library:R_0402_1005Metric","C25076"
"R10","100R","library:R_0402_1005Metric","C25076"
"R11","4.7k","library:R_0805_2012Metric","C17673"
"R12","100R","library:R_0402_1005Metric","C25076"
"R13","100R","library:R_0402_1005Metric","C25076"
"R14","100R","library:R_0402_1005Metric","C25076"
"R15","100k","library:R_0402_1005Metric","C25741"
"U1","TLC59025","library:SSOP-24_3.9x8.7mm_P0.635mm",""
"U3","TLC59025","library:SSOP-24_3.9x8.7mm_P0.635mm",""
"U4","AZ1117-3.3","library:SOT-223-3_TabPin2","C6186"
