Designator,Mid X,Mid Y,Layer,Rotation
"C1",123.200000,-114.200000,top,-90.000000
"C2",125.500000,-105.250000,top,-90.000000
"C3",136.710000,-97.775000,top,90.000000
"C4",131.250000,-92.000000,top,180.000000
"C5",150.000000,-85.000000,top,0.000000
"C6",148.000000,-97.250000,top,180.000000
"D2",129.500000,-78.500000,top,90.000000
"D3",152.400000,-78.000000,top,0.000000
"D4",146.400000,-121.000000,top,0.000000
"D5",140.000000,-85.800000,top,0.000000
"D6",136.000000,-114.000000,top,0.000000
"D7",47.500000,-67.000000,top,0.000000
"D8",58.500000,-67.000000,top,0.000000
"D9",95.000000,-67.000000,top,0.000000
"D10",106.500000,-67.000000,top,0.000000
"D11",36.000000,-77.500000,top,-90.000000
"D12",66.500000,-77.500000,top,-90.000000
"D13",84.000000,-77.500000,top,-90.000000
"D14",114.500000,-77.500000,top,-90.000000
"D15",34.500000,-89.500000,top,-90.000000
"D16",65.000000,-89.500000,top,-90.000000
"D17",82.000000,-89.500000,top,-90.000000
"D18",113.000000,-89.500000,top,-90.000000
"D19",42.500000,-100.000000,top,0.000000
"D20",54.000000,-100.000000,top,0.000000
"D21",90.000000,-100.000000,top,0.000000
"D22",102.000000,-100.000000,top,0.000000
"D23",31.000000,-112.000000,top,-90.000000
"D24",62.000000,-111.500000,top,-90.000000
"D25",79.000000,-112.000000,top,-90.000000
"D26",110.000000,-111.500000,top,-90.000000
"D27",29.500000,-123.000000,top,-90.000000
"D28",60.500000,-123.500000,top,-90.000000
"D29",77.500000,-123.000000,top,-90.000000
"D30",108.500000,-123.500000,top,-90.000000
"D31",38.000000,-133.500000,top,0.000000
"D32",49.500000,-133.500000,top,0.000000
"D33",85.500000,-133.500000,top,0.000000
"D34",97.000000,-133.500000,top,0.000000
"D35",178.500000,-67.000000,top,0.000000
"D36",190.000000,-67.000000,top,0.000000
"D37",227.000000,-67.000000,top,0.000000
"D38",238.000000,-67.000000,top,0.000000
"D39",167.500000,-77.500000,top,-90.000000
"D40",198.500000,-77.500000,top,-90.000000
"D41",216.000000,-77.500000,top,-90.000000
"D42",246.000000,-77.500000,top,-90.000000
"D43",166.000000,-89.500000,top,-90.000000
"D44",196.500000,-89.500000,top,-90.000000
"D45",214.000000,-89.500000,top,-90.000000
"D46",244.500000,-89.500000,top,-90.000000
"D47",174.000000,-100.000000,top,0.000000
"D48",185.500000,-100.000000,top,0.000000
"D49",222.000000,-100.000000,top,0.000000
"D50",233.500000,-100.000000,top,0.000000
"D51",163.000000,-112.000000,top,-90.000000
"D52",193.000000,-111.500000,top,-90.000000
"D53",210.500000,-112.000000,top,-90.000000
"D54",241.000000,-111.500000,top,-90.000000
"D55",161.500000,-123.000000,top,-90.000000
"D56",191.500000,-123.500000,top,-90.000000
"D57",208.750000,-123.000000,top,-90.000000
"D58",239.750000,-123.500000,top,-90.000000
"D59",170.000000,-133.500000,top,0.000000
"D60",181.000000,-133.500000,top,0.000000
"D61",217.500000,-133.500000,top,0.000000
"D62",228.750000,-133.500000,top,0.000000
"R1",143.500000,-94.500000,top,-90.000000
"R2",123.200000,-112.000000,top,0.000000
"R3",147.009999,-109.500000,top,180.000000
"R4",153.250000,-94.000000,top,90.000000
"R5",129.500000,-81.000000,top,0.000000
"R6",131.000000,-78.500000,top,90.000000
"R7",155.000000,-78.000000,top,180.000000
"R8",149.000000,-115.000000,top,180.000000
"R9",142.600000,-85.800000,top,180.000000
"R10",138.500000,-114.000000,top,180.000000
"R11",122.500000,-107.500000,top,-90.000000
"R12",134.500000,-81.000000,top,180.000000
"R13",134.500000,-83.000000,top,180.000000
"R14",134.500000,-82.000000,top,180.000000
"R15",144.500000,-85.000000,top,90.000000
"U1",154.500000,-100.000000,top,0.000000
"U3",122.000000,-100.000000,top,180.000000
"U4",131.565000,-97.650000,top,270.000000
"SW1",133.012500,-75.712500,bottom,180.000000
