Designator,Mid X,Mid Y,Layer,Rotation
"C1",118.000000,-114.000000,top,0.000000
"C2",120.500000,-102.500000,top,90.000000
"C3",122.000000,-113.500000,top,180.000000
"C4",150.000000,-85.000000,top,0.000000
"D1",47.500000,-67.000000,top,0.000000
"D2",58.500000,-67.000000,top,0.000000
"D3",95.000000,-67.000000,top,0.000000
"D4",106.500000,-67.000000,top,0.000000
"D5",36.000000,-77.500000,top,-90.000000
"D6",66.500000,-77.500000,top,-90.000000
"D7",84.000000,-77.500000,top,-90.000000
"D8",114.500000,-77.500000,top,-90.000000
"D9",34.500000,-89.500000,top,-90.000000
"D10",65.000000,-89.500000,top,-90.000000
"D11",82.000000,-89.500000,top,-90.000000
"D12",113.000000,-89.500000,top,-90.000000
"D13",42.500000,-100.000000,top,0.000000
"D14",54.000000,-100.000000,top,0.000000
"D15",90.000000,-100.000000,top,0.000000
"D16",102.000000,-100.000000,top,0.000000
"D17",31.000000,-112.000000,top,-90.000000
"D18",62.000000,-111.500000,top,-90.000000
"D19",79.000000,-112.000000,top,-90.000000
"D20",110.000000,-111.500000,top,-90.000000
"D21",29.500000,-123.000000,top,-90.000000
"D22",60.500000,-123.500000,top,-90.000000
"D23",77.500000,-123.000000,top,-90.000000
"D24",108.500000,-123.500000,top,-90.000000
"D25",38.000000,-133.500000,top,0.000000
"D26",49.500000,-133.500000,top,0.000000
"D27",85.500000,-133.500000,top,0.000000
"D28",97.000000,-133.500000,top,0.000000
"D29",178.500000,-67.000000,top,0.000000
"D30",190.000000,-67.000000,top,0.000000
"D31",227.000000,-67.000000,top,0.000000
"D32",238.000000,-67.000000,top,0.000000
"D33",167.500000,-77.500000,top,-90.000000
"D34",198.500000,-77.500000,top,-90.000000
"D35",216.000000,-77.500000,top,-90.000000
"D36",246.000000,-77.500000,top,-90.000000
"D37",166.000000,-89.500000,top,-90.000000
"D38",196.500000,-89.500000,top,-90.000000
"D39",214.000000,-89.500000,top,-90.000000
"D40",244.500000,-89.500000,top,-90.000000
"D41",174.000000,-100.000000,top,0.000000
"D42",185.500000,-100.000000,top,0.000000
"D43",222.000000,-100.000000,top,0.000000
"D44",233.500000,-100.000000,top,0.000000
"D45",163.000000,-112.000000,top,-90.000000
"D46",193.000000,-111.500000,top,-90.000000
"D47",210.500000,-112.000000,top,-90.000000
"D48",241.000000,-111.500000,top,-90.000000
"D49",161.500000,-123.000000,top,-90.000000
"D50",191.500000,-123.500000,top,-90.000000
"D51",208.750000,-123.000000,top,-90.000000
"D52",239.750000,-123.500000,top,-90.000000
"D53",170.000000,-133.500000,top,0.000000
"D54",181.000000,-133.500000,top,0.000000
"D55",217.500000,-133.500000,top,0.000000
"D56",228.750000,-133.500000,top,0.000000
"D57",129.500000,-78.500000,top,90.000000
"D58",152.400000,-78.000000,top,0.000000
"D59",146.400000,-121.000000,top,0.000000
"D60",140.000000,-85.800000,top,0.000000
"D61",136.000000,-114.000000,top,0.000000
"Q1",115.500000,-98.500000,top,180.000000
"Q2",115.500000,-102.500000,top,180.000000
"Q3",155.437500,-101.550000,top,0.000000
"Q4",155.500000,-105.500000,top,0.000000
"R1",50.000000,-67.000000,top,180.000000
"R2",61.000000,-67.000000,top,180.000000
"R3",97.500000,-67.000000,top,180.000000
"R4",109.000000,-67.000000,top,180.000000
