Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/10V/X5R","C_0603_1608Metric",123.200000,-114.200000,-90.000000,top
"C2","100nF/50V/X7R","C_0603_1608Metric",125.500000,-105.250000,-90.000000,top
"C3","22uF/25V/X5R","C_1206_3216Metric",136.710000,-97.775000,90.000000,top
"C4","22uF/25V/X5R","C_1206_3216Metric",131.250000,-92.000000,180.000000,top
"C5","100nF/50V/X7R","C_0603_1608Metric",150.000000,-85.000000,0.000000,top
"C6","100nF/50V/X7R","C_0603_1608Metric",148.000000,-97.250000,180.000000,top
"D2","PM","LED_0603_1608Metric",129.500000,-78.500000,90.000000,top
"D3","AL","LED_0603_1608Metric",152.400000,-78.000000,0.000000,top
"D4","TEMP","LED_0603_1608Metric",146.400000,-121.000000,0.000000,top
"D5","TOP","LED_0603_1608Metric",140.000000,-85.800000,0.000000,top
"D6","BOTT","LED_0603_1608Metric",136.000000,-114.000000,0.000000,top
"D7","LED","LED_0603_1608Metric",47.500000,-67.000000,0.000000,top
"D8","LED","LED_0603_1608Metric",58.500000,-67.000000,0.000000,top
"D9","LED","LED_0603_1608Metric",95.000000,-67.000000,0.000000,top
"D10","LED","LED_0603_1608Metric",106.500000,-67.000000,0.000000,top
"D11","LED","LED_0603_1608Metric",36.000000,-77.500000,-90.000000,top
"D12","LED","LED_0603_1608Metric",66.500000,-77.500000,-90.000000,top
"D13","LED","LED_0603_1608Metric",84.000000,-77.500000,-90.000000,top
"D14","LED","LED_0603_1608Metric",114.500000,-77.500000,-90.000000,top
"D15","LED","LED_0603_1608Metric",34.500000,-89.500000,-90.000000,top
"D16","LED","LED_0603_1608Metric",65.000000,-89.500000,-90.000000,top
"D17","LED","LED_0603_1608Metric",82.000000,-89.500000,-90.000000,top
"D18","LED","LED_0603_1608Metric",113.000000,-89.500000,-90.000000,top
"D19","LED","LED_0603_1608Metric",42.500000,-100.000000,0.000000,top
"D20","LED","LED_0603_1608Metric",54.000000,-100.000000,0.000000,top
"D21","LED","LED_0603_1608Metric",90.000000,-100.000000,0.000000,top
"D22","LED","LED_0603_1608Metric",102.000000,-100.000000,0.000000,top
"D23","LED","LED_0603_1608Metric",31.000000,-112.000000,-90.000000,top
"D24","LED","LED_0603_1608Metric",62.000000,-111.500000,-90.000000,top
"D25","LED","LED_0603_1608Metric",79.000000,-112.000000,-90.000000,top
"D26","LED","LED_0603_1608Metric",110.000000,-111.500000,-90.000000,top
"D27","LED","LED_0603_1608Metric",29.500000,-123.000000,-90.000000,top
"D28","LED","LED_0603_1608Metric",60.500000,-123.500000,-90.000000,top
"D29","LED","LED_0603_1608Metric",77.500000,-123.000000,-90.000000,top
"D30","LED","LED_0603_1608Metric",108.500000,-123.500000,-90.000000,top
"D31","LED","LED_0603_1608Metric",38.000000,-133.500000,0.000000,top
"D32","LED","LED_0603_1608Metric",49.500000,-133.500000,0.000000,top
"D33","LED","LED_0603_1608Metric",85.500000,-133.500000,0.000000,top
"D34","LED","LED_0603_1608Metric",97.000000,-133.500000,0.000000,top
"D35","LED","LED_0603_1608Metric",178.500000,-67.000000,0.000000,top
"D36","LED","LED_0603_1608Metric",190.000000,-67.000000,0.000000,top
"D37","LED","LED_0603_1608Metric",227.000000,-67.000000,0.000000,top
"D38","LED","LED_0603_1608Metric",238.000000,-67.000000,0.000000,top
"D39","LED","LED_0603_1608Metric",167.500000,-77.500000,-90.000000,top
"D40","LED","LED_0603_1608Metric",198.500000,-77.500000,-90.000000,top
"D41","LED","LED_0603_1608Metric",216.000000,-77.500000,-90.000000,top
"D42","LED","LED_0603_1608Metric",246.000000,-77.500000,-90.000000,top
"D43","LED","LED_0603_1608Metric",166.000000,-89.500000,-90.000000,top
"D44","LED","LED_0603_1608Metric",196.500000,-89.500000,-90.000000,top
"D45","LED","LED_0603_1608Metric",214.000000,-89.500000,-90.000000,top
"D46","LED","LED_0603_1608Metric",244.500000,-89.500000,-90.000000,top
"D47","LED","LED_0603_1608Metric",174.000000,-100.000000,0.000000,top
"D48","LED","LED_0603_1608Metric",185.500000,-100.000000,0.000000,top
"D49","LED","LED_0603_1608Metric",222.000000,-100.000000,0.000000,top
"D50","LED","LED_0603_1608Metric",233.500000,-100.000000,0.000000,top
"D51","LED","LED_0603_1608Metric",163.000000,-112.000000,-90.000000,top
"D52","LED","LED_0603_1608Metric",193.000000,-111.500000,-90.000000,top
"D53","LED","LED_0603_1608Metric",210.500000,-112.000000,-90.000000,top
"D54","LED","LED_0603_1608Metric",241.000000,-111.500000,-90.000000,top
"D55","LED","LED_0603_1608Metric",161.500000,-123.000000,-90.000000,top
"D56","LED","LED_0603_1608Metric",191.500000,-123.500000,-90.000000,top
"D57","LED","LED_0603_1608Metric",208.750000,-123.000000,-90.000000,top
"D58","LED","LED_0603_1608Metric",239.750000,-123.500000,-90.000000,top
"D59","LED","LED_0603_1608Metric",170.000000,-133.500000,0.000000,top
"D60","LED","LED_0603_1608Metric",181.000000,-133.500000,0.000000,top
"D61","LED","LED_0603_1608Metric",217.500000,-133.500000,0.000000,top
"D62","LED","LED_0603_1608Metric",228.750000,-133.500000,0.000000,top
"R1","100k","R_0402_1005Metric",143.500000,-94.500000,-90.000000,top
"R2","100k","R_0402_1005Metric",123.200000,-112.000000,0.000000,top
"R3","100k","R_0402_1005Metric",147.009999,-109.500000,180.000000,top
"R4","4.7k","R_0805_2012Metric",153.250000,-94.000000,90.000000,top
"R5","R_100k","R_0402_1005Metric",129.500000,-81.000000,0.000000,top
"R6","100R","R_0402_1005Metric",131.000000,-78.500000,90.000000,top
"R7","100R","R_0402_1005Metric",155.000000,-78.000000,180.000000,top
"R8","100R","R_0402_1005Metric",149.000000,-115.000000,180.000000,top
"R9","100R","R_0402_1005Metric",142.600000,-85.800000,180.000000,top
"R10","100R","R_0402_1005Metric",138.500000,-114.000000,180.000000,top
"R11","4.7k","R_0805_2012Metric",122.500000,-107.500000,-90.000000,top
"R12","100R","R_0402_1005Metric",134.500000,-81.000000,180.000000,top
"R13","100R","R_0402_1005Metric",134.500000,-83.000000,180.000000,top
"R14","100R","R_0402_1005Metric",134.500000,-82.000000,180.000000,top
"R15","100k","R_0402_1005Metric",144.500000,-85.000000,90.000000,top
"U1","TLC59025","SSOP-24_3.9x8.7mm_P0.635mm",154.500000,-100.000000,90.000000,top
"U3","TLC59025","SSOP-24_3.9x8.7mm_P0.635mm",122.000000,-100.000000,-90.000000,top
"U4","AZ1117-3.3","SOT-223-3_TabPin2",131.565000,-97.650000,90.000000,top
