Designator,Mid X,Mid Y,Layer,Rotation
"C2",101.250000,-117.250000,top,90.000000
"C3",91.750000,-112.750000,top,90.000000
"C4",101.500000,-112.750000,top,90.000000
"C5",80.000000,-107.500000,top,90.000000
"C6",101.750000,-127.500000,top,-45.000000
"C7",96.500000,-131.250000,top,-135.000000
"D1",91.750000,-107.500000,top,90.000000
"L1",85.750000,-107.750000,top,180.000000
"Q1",98.000000,-133.500000,top,225.000000
"R1",82.250000,-114.250000,top,-45.000000
"R2",78.500000,-111.750000,top,45.000000
"R3",94.500000,-137.000000,top,135.000000
"R4",74.000000,-123.500000,top,-45.000000
"R5",93.000000,-138.500000,top,135.000000
"R6",91.500000,-140.000000,top,135.000000
"R7",96.000000,-135.500000,top,-45.000000
"R8",101.500000,-131.750000,top,45.000000
"R9",102.000000,-122.750000,top,90.000000
"R10",85.000000,-112.500000,top,0.000000
"R11",96.000000,-118.750000,top,0.000000
"R12",81.000000,-115.500000,top,-45.000000
"R13",96.000000,-119.750000,top,0.000000
"R14",79.750000,-113.000000,top,-135.000000
"R15",91.250000,-115.250000,top,-45.000000
"U1",96.350000,-115.050000,top,90.000000
"U2",87.486485,-135.613010,top,45.000000
"U3",99.750000,-129.500000,top,45.000000
"U4",99.250000,-120.750000,top,-90.000000
"SW1",90.260000,-122.358000,bottom,180.000000
"SW2",90.260000,-110.858000,bottom,180.000000
"SW3",90.260000,-133.858000,bottom,180.000000
"SW4",78.760000,-122.358000,bottom,180.000000
"SW5",101.760000,-122.358000,bottom,180.000000
