Designator,Mid X,Mid Y,Layer,Rotation
"C1",99.500000,-123.500000,top,135.000000
"C2",98.000000,-114.000000,top,180.000000
"J1",106.087006,-133.212994,top,-45.000000
"J2",75.500000,-116.500000,top,135.000000
"J3",106.500000,-122.100000,top,-90.000000
"Q1",98.000000,-133.500000,top,45.000000
"R1",81.500000,-112.000000,top,-45.000000
"R2",84.500000,-109.000000,top,-45.000000
"R3",94.500000,-137.000000,top,135.000000
"R4",74.000000,-123.500000,top,-45.000000
"R5",93.000000,-138.500000,top,135.000000
"R6",91.500000,-140.000000,top,135.000000
"R7",96.000000,-135.500000,top,-45.000000
"R8",101.000000,-129.700000,top,0.000000
"R9",101.500000,-121.000000,top,-90.000000
"R12",80.000000,-113.500000,top,-45.000000
"R14",83.000000,-110.500000,top,135.000000
"U2",87.486485,-135.613010,top,135.000000
"U4",98.000000,-117.000000,top,0.000000
