Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF/50V/X7R","C_0603_1608Metric",101.250000,-117.250000,90.000000,top
"C3","10nF/50V/X7R","C_0402_1005Metric",91.750000,-112.750000,90.000000,top
"C4","10uF/50V/X5R","C_1206_3216Metric",101.500000,-112.750000,90.000000,top
"C5","220uF/6.3V/TANT","CP_EIA-3528-12_Kemet-T",80.000000,-107.500000,90.000000,top
"C6","10uF/10V/X5R","C_0603_1608Metric",101.750000,-127.500000,-45.000000,top
"C7","10uF/10V/X5R","C_0603_1608Metric",96.500000,-131.250000,-135.000000,top
"D1","B340","D_SMA",91.750000,-107.500000,90.000000,top
"L1","33uH/1A","CYA630",85.750000,-107.750000,180.000000,top
"Q1","AO3400A","SOT-23",98.000000,-133.500000,45.000000,top
"R1","10k","R_0603_1608Metric",82.250000,-114.250000,-45.000000,top
"R2","10k","R_0603_1608Metric",78.500000,-111.750000,45.000000,top
"R3","10k","R_0603_1608Metric",94.500000,-137.000000,135.000000,top
"R4","10k","R_0603_1608Metric",74.000000,-123.500000,-45.000000,top
"R5","10k","R_0603_1608Metric",93.000000,-138.500000,135.000000,top
"R6","10k","R_0603_1608Metric",91.500000,-140.000000,135.000000,top
"R7","100k","R_0603_1608Metric",96.000000,-135.500000,-45.000000,top
"R8","0","R_0603_1608Metric",101.500000,-131.750000,45.000000,top
"R9","0","R_0603_1608Metric",102.000000,-122.750000,90.000000,top
"R10","0","R_0603_1608Metric",85.000000,-112.500000,0.000000,top
"R11","10k","R_0402_1005Metric",96.000000,-118.750000,0.000000,top
"R12","10k","R_0603_1608Metric",81.000000,-115.500000,-45.000000,top
"R13","4.7k","R_0402_1005Metric",96.000000,-119.750000,0.000000,top
"R14","10k","R_0603_1608Metric",79.750000,-113.000000,-135.000000,top
"R15","10k","R_0402_1005Metric",91.250000,-115.250000,-45.000000,top
"U1","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",96.350000,-115.050000,0.000000,top
"U2","ESP-12","ESP-12E_SMD",87.486485,-135.613010,135.000000,top
"U3","XC6206P332MR-G","SOT-23",99.750000,-129.500000,-135.000000,top
"U4","74LVC1G125","SOT-23-5",99.250000,-120.750000,0.000000,top
