"Comment","Designator","Footprint","LCSC"
"10uF/10V/X5R","C1","library:C_0603_1608Metric","C19702"
"100nF/50V/X7R","C2","library:C_0603_1608Metric","C14663"
"Conn_01x02","J2","library:connector_1x02_pads",""
"Conn_01x05","J3","library:connector_1x05_pads",""
"AO3400A","Q1","library:SOT-23","C20917"
"10k","R1","library:R_0603_1608Metric","C25804"
"10k","R2","library:R_0603_1608Metric","C25804"
"10k","R3","library:R_0603_1608Metric","C25804"
"10k","R4","library:R_0603_1608Metric","C25804"
"10k","R5","library:R_0603_1608Metric","C25804"
"10k","R6","library:R_0603_1608Metric","C25804"
"100k","R7","library:R_0603_1608Metric","C21190"
"0","R8","library:R_0603_1608Metric","C21189"
"0","R9","library:R_0603_1608Metric","C21189"
"10k","R12","library:R_0603_1608Metric","C25804"
"10k","R14","library:R_0603_1608Metric","C25804"
"SW_Push_Dual","SW1","library:SW_Push_1P1T_NO_CK_KSC6xxJ",""
"SW_Push_Dual","SW2","library:SW_Push_1P1T_NO_CK_KSC6xxJ",""
"SW_Push_Dual","SW3","library:SW_Push_1P1T_NO_CK_KSC6xxJ",""
"SW_Push_Dual","SW4","library:SW_Push_1P1T_NO_CK_KSC6xxJ",""
"SW_Push_Dual","SW5","library:SW_Push_1P1T_NO_CK_KSC6xxJ",""
"ESP-12","U2","library:ESP-12E_SMD","C82891"
"74LVC1G125","U4","library:SOT-23-5","C23654"
