Designator,Mid X,Mid Y,Layer,Rotation
"C1",121.000000,-135.000000,top,90.000000
"C2",121.000000,-137.000000,top,-90.000000
"DA1",95.750000,-126.750000,top,135.000000
"DA2",95.000000,-115.000000,top,90.000000
"DA3",95.000000,-103.000000,top,90.000000
"DA4",95.000000,-91.000000,top,90.000000
"DA5",95.000000,-79.000000,top,90.000000
"DA6",98.250000,-68.750000,top,45.000000
"DA7",110.000000,-68.000000,top,0.000000
"DA8",122.000000,-68.000000,top,0.000000
"DA9",134.000000,-68.000000,top,0.000000
"DA10",146.000000,-68.000000,top,0.000000
"DA11",156.250000,-71.250000,top,-45.000000
"DA12",157.000000,-83.000000,top,90.000000
"DA13",157.000000,-95.000000,top,90.000000
"DA14",157.000000,-107.000000,top,90.000000
"DA15",157.000000,-119.000000,top,90.000000
"DA16",153.750000,-129.250000,top,-135.000000
"DA17",142.000000,-130.000000,top,0.000000
"DA18",130.000000,-130.000000,top,0.000000
"DA19",118.000000,-130.000000,top,0.000000
"DA20",106.000000,-130.000000,top,0.000000
"DB1",95.000000,-123.000000,top,90.000000
"DB2",95.000000,-111.000000,top,90.000000
"DB3",95.000000,-99.000000,top,90.000000
"DB4",95.000000,-87.000000,top,90.000000
"DB5",95.000000,-75.000000,top,90.000000
"DB6",102.000000,-68.000000,top,0.000000
"DB7",114.000000,-68.000000,top,0.000000
"DB8",126.000000,-68.000000,top,0.000000
"DB9",138.000000,-68.000000,top,0.000000
"DB10",150.000000,-68.000000,top,0.000000
"DB11",157.000000,-75.000000,top,90.000000
"DB12",157.000000,-87.000000,top,90.000000
"DB13",157.000000,-99.000000,top,90.000000
"DB14",157.000000,-111.000000,top,90.000000
"DB15",157.000000,-123.000000,top,90.000000
"DB16",150.000000,-130.000000,top,0.000000
"DB17",138.000000,-130.000000,top,0.000000
"DB18",126.000000,-130.000000,top,0.000000
"DB19",114.000000,-130.000000,top,0.000000
"DB20",102.000000,-130.000000,top,0.000000
"DC1",95.000000,-119.000000,top,90.000000
"DC2",95.000000,-107.000000,top,90.000000
"DC3",95.000000,-95.000000,top,90.000000
"DC4",95.000000,-83.000000,top,90.000000
"DC5",95.750000,-71.250000,top,45.000000
"DC6",106.000000,-68.000000,top,0.000000
"DC7",118.000000,-68.000000,top,0.000000
"DC8",130.000000,-68.000000,top,0.000000
"DC9",142.000000,-68.000000,top,0.000000
"DC10",153.750000,-68.750000,top,-45.000000
"DC11",157.000000,-79.000000,top,90.000000
"DC12",157.000000,-91.000000,top,90.000000
"DC13",157.000000,-103.000000,top,90.000000
"DC14",157.000000,-115.000000,top,90.000000
"DC15",156.250000,-126.750000,top,-135.000000
"DC16",146.000000,-130.000000,top,0.000000
"DC17",134.000000,-130.000000,top,0.000000
"DC18",122.000000,-130.000000,top,0.000000
"DC19",110.000000,-130.000000,top,0.000000
"DC20",98.250000,-129.250000,top,135.000000
"Q1",141.750000,-133.437500,top,90.000000
"Q2",146.375001,-133.437500,top,90.000000
"Q3",151.000000,-133.437501,top,90.000000
"R1",96.750000,-125.750000,top,135.000000
"R2",96.500000,-123.000000,top,90.000000
"R3",96.500000,-119.000000,top,90.000000
"R4",96.500000,-115.000000,top,90.000000
"R5",96.500000,-111.000000,top,90.000000
"R6",96.500000,-107.000000,top,90.000000
"R7",96.500000,-103.000000,top,90.000000
"R8",96.500000,-99.000000,top,90.000000
"R9",96.500000,-95.000000,top,90.000000
"R10",96.500000,-91.000000,top,90.000000
"R11",96.500000,-87.000000,top,90.000000
"R12",96.500000,-83.000000,top,90.000000
"R13",96.500000,-79.000000,top,90.000000
"R14",96.500000,-75.000000,top,90.000000
"R15",96.750000,-72.250000,top,45.000000
"R16",99.250000,-69.750000,top,45.000000
"R17",102.000000,-69.500000,top,0.000000
"R18",106.000000,-69.500000,top,0.000000
"R19",110.000000,-69.500000,top,0.000000
"R20",114.000000,-69.500000,top,0.000000
"R21",118.000000,-69.500000,top,0.000000
"R22",122.000000,-69.500000,top,0.000000
"R23",126.000000,-69.500000,top,0.000000
"R24",130.000000,-69.500000,top,0.000000
"R25",134.000000,-69.500000,top,0.000000
"R26",138.000000,-69.500000,top,0.000000
"R27",142.000000,-69.500000,top,0.000000
"R28",146.000000,-69.500000,top,0.000000
"R29",150.000000,-69.500000,top,0.000000
"R30",152.750000,-69.750000,top,-45.000000
"R31",155.250000,-72.250000,top,-45.000000
"R32",155.500000,-75.000000,top,90.000000
"R33",155.500000,-79.000000,top,90.000000
"R34",155.500000,-83.000000,top,90.000000
"R35",155.500000,-87.000000,top,90.000000
"R36",155.500000,-91.000000,top,90.000000
"R37",155.500000,-95.000000,top,90.000000
"R38",155.500000,-99.000000,top,90.000000
"R39",155.500000,-103.000000,top,90.000000
"R40",155.500000,-107.000000,top,90.000000
"R41",155.500000,-111.000000,top,90.000000
"R42",155.500000,-115.000000,top,90.000000
"R43",155.500000,-119.000000,top,90.000000
"R44",155.500000,-123.000000,top,90.000000
"R45",155.500000,-125.500000,top,-135.000000
"R46",152.750000,-128.250000,top,-135.000000
"R47",150.000000,-128.500000,top,0.000000
"R48",146.000000,-128.500000,top,0.000000
"R49",142.000000,-128.500000,top,0.000000
"R50",137.990000,-128.500000,top,0.000000
"R51",134.000000,-128.500000,top,0.000000
"R52",130.000000,-128.500000,top,0.000000
"R53",126.000000,-128.500000,top,0.000000
"R54",122.000000,-128.500000,top,0.000000
"R55",118.000000,-128.500000,top,0.000000
"R56",114.000000,-128.500000,top,0.000000
"R57",110.000000,-128.500000,top,0.000000
"R58",106.000000,-128.500000,top,0.000000
"R59",102.000000,-128.500000,top,0.000000
"R60",99.250000,-128.250000,top,135.000000
"R61",112.250000,-134.750000,top,-90.000000
"R62",141.750000,-136.250000,top,0.000000
"R63",146.500000,-136.250000,top,0.000000
"R64",151.000000,-136.250000,top,0.000000
"U1",116.500000,-134.750000,top,90.000000
