Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF/16V/X7R","C_0402_1005Metric",121.000000,-135.000000,90.000000,top
"C2","10uF/6.3V/X5R","C_0402_1005Metric",121.000000,-137.000000,-90.000000,top
"DA1","LED_AMBER","LED_0603_1608Metric",95.750000,-126.750000,135.000000,top
"DA2","LED_AMBER","LED_0603_1608Metric",95.000000,-115.000000,90.000000,top
"DA3","LED_AMBER","LED_0603_1608Metric",95.000000,-103.000000,90.000000,top
"DA4","LED_AMBER","LED_0603_1608Metric",95.000000,-91.000000,90.000000,top
"DA5","LED_AMBER","LED_0603_1608Metric",95.000000,-79.000000,90.000000,top
"DA6","LED_AMBER","LED_0603_1608Metric",98.250000,-68.750000,45.000000,top
"DA7","LED_AMBER","LED_0603_1608Metric",110.000000,-68.000000,0.000000,top
"DA8","LED_AMBER","LED_0603_1608Metric",122.000000,-68.000000,0.000000,top
"DA9","LED_AMBER","LED_0603_1608Metric",134.000000,-68.000000,0.000000,top
"DA10","LED_AMBER","LED_0603_1608Metric",146.000000,-68.000000,0.000000,top
"DA11","LED_AMBER","LED_0603_1608Metric",156.250000,-71.250000,-45.000000,top
"DA12","LED_AMBER","LED_0603_1608Metric",157.000000,-83.000000,90.000000,top
"DA13","LED_AMBER","LED_0603_1608Metric",157.000000,-95.000000,90.000000,top
"DA14","LED_AMBER","LED_0603_1608Metric",157.000000,-107.000000,90.000000,top
"DA15","LED_AMBER","LED_0603_1608Metric",157.000000,-119.000000,90.000000,top
"DA16","LED_AMBER","LED_0603_1608Metric",153.750000,-129.250000,-135.000000,top
"DA17","LED_AMBER","LED_0603_1608Metric",142.000000,-130.000000,0.000000,top
"DA18","LED_AMBER","LED_0603_1608Metric",130.000000,-130.000000,0.000000,top
"DA19","LED_AMBER","LED_0603_1608Metric",118.000000,-130.000000,0.000000,top
"DA20","LED_AMBER","LED_0603_1608Metric",106.000000,-130.000000,0.000000,top
"DB1","LED_AMBER","LED_0603_1608Metric",95.000000,-123.000000,90.000000,top
"DB2","LED_AMBER","LED_0603_1608Metric",95.000000,-111.000000,90.000000,top
"DB3","LED_AMBER","LED_0603_1608Metric",95.000000,-99.000000,90.000000,top
"DB4","LED_AMBER","LED_0603_1608Metric",95.000000,-87.000000,90.000000,top
"DB5","LED_AMBER","LED_0603_1608Metric",95.000000,-75.000000,90.000000,top
"DB6","LED_AMBER","LED_0603_1608Metric",102.000000,-68.000000,0.000000,top
"DB7","LED_AMBER","LED_0603_1608Metric",114.000000,-68.000000,0.000000,top
"DB8","LED_AMBER","LED_0603_1608Metric",126.000000,-68.000000,0.000000,top
"DB9","LED_AMBER","LED_0603_1608Metric",138.000000,-68.000000,0.000000,top
"DB10","LED_AMBER","LED_0603_1608Metric",150.000000,-68.000000,0.000000,top
"DB11","LED_AMBER","LED_0603_1608Metric",157.000000,-75.000000,90.000000,top
"DB12","LED_AMBER","LED_0603_1608Metric",157.000000,-87.000000,90.000000,top
"DB13","LED_AMBER","LED_0603_1608Metric",157.000000,-99.000000,90.000000,top
"DB14","LED_AMBER","LED_0603_1608Metric",157.000000,-111.000000,90.000000,top
"DB15","LED_AMBER","LED_0603_1608Metric",157.000000,-123.000000,90.000000,top
"DB16","LED_AMBER","LED_0603_1608Metric",150.000000,-130.000000,0.000000,top
"DB17","LED_AMBER","LED_0603_1608Metric",138.000000,-130.000000,0.000000,top
"DB18","LED_AMBER","LED_0603_1608Metric",126.000000,-130.000000,0.000000,top
"DB19","LED_AMBER","LED_0603_1608Metric",114.000000,-130.000000,0.000000,top
"DB20","LED_AMBER","LED_0603_1608Metric",102.000000,-130.000000,0.000000,top
"DC1","LED_AMBER","LED_0603_1608Metric",95.000000,-119.000000,90.000000,top
"DC2","LED_AMBER","LED_0603_1608Metric",95.000000,-107.000000,90.000000,top
"DC3","LED_AMBER","LED_0603_1608Metric",95.000000,-95.000000,90.000000,top
"DC4","LED_AMBER","LED_0603_1608Metric",95.000000,-83.000000,90.000000,top
"DC5","LED_AMBER","LED_0603_1608Metric",95.750000,-71.250000,45.000000,top
"DC6","LED_AMBER","LED_0603_1608Metric",106.000000,-68.000000,0.000000,top
"DC7","LED_AMBER","LED_0603_1608Metric",118.000000,-68.000000,0.000000,top
"DC8","LED_AMBER","LED_0603_1608Metric",130.000000,-68.000000,0.000000,top
"DC9","LED_AMBER","LED_0603_1608Metric",142.000000,-68.000000,0.000000,top
"DC10","LED_AMBER","LED_0603_1608Metric",153.750000,-68.750000,-45.000000,top
"DC11","LED_AMBER","LED_0603_1608Metric",157.000000,-79.000000,90.000000,top
"DC12","LED_AMBER","LED_0603_1608Metric",157.000000,-91.000000,90.000000,top
"DC13","LED_AMBER","LED_0603_1608Metric",157.000000,-103.000000,90.000000,top
"DC14","LED_AMBER","LED_0603_1608Metric",157.000000,-115.000000,90.000000,top
"DC15","LED_AMBER","LED_0603_1608Metric",156.250000,-126.750000,-135.000000,top
"DC16","LED_AMBER","LED_0603_1608Metric",146.000000,-130.000000,0.000000,top
"DC17","LED_AMBER","LED_0603_1608Metric",134.000000,-130.000000,0.000000,top
"DC18","LED_AMBER","LED_0603_1608Metric",122.000000,-130.000000,0.000000,top
"DC19","LED_AMBER","LED_0603_1608Metric",110.000000,-130.000000,0.000000,top
"DC20","LED_AMBER","LED_0603_1608Metric",98.250000,-129.250000,135.000000,top
"Q1","AO3400A","SOT-23-GSD",141.750000,-133.437500,90.000000,top
"Q2","AO3400A","SOT-23-GSD",146.375001,-133.437500,90.000000,top
"Q3","AO3400A","SOT-23-GSD",151.000000,-133.437501,90.000000,top
"R1","330","R_0402_1005Metric",96.750000,-125.750000,135.000000,top
"R2","330","R_0402_1005Metric",96.500000,-123.000000,90.000000,top
"R3","330","R_0402_1005Metric",96.500000,-119.000000,90.000000,top
"R4","330","R_0402_1005Metric",96.500000,-115.000000,90.000000,top
"R5","330","R_0402_1005Metric",96.500000,-111.000000,90.000000,top
"R6","330","R_0402_1005Metric",96.500000,-107.000000,90.000000,top
