Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",161.900000,-83.025000,-90.000000,bottom
"C2","0.1uF","C_0603_1608Metric",161.900000,-77.025000,90.000000,bottom
"C3","10uF","C_0603_1608Metric",160.100000,-71.800000,180.000000,bottom
"C4","10uF","C_0603_1608Metric",150.900000,-71.800000,0.000000,bottom
"C5","47uF","C_0805_2012Metric",154.300000,-83.800000,90.000000,bottom
"J1","SYZYGY_STD","QTE-020-01-F-D-A",142.400320,-65.800000,0.000000,bottom
"J2","FH34SRJ-34S-0.5SH_50","HRS_FH34SRJ-34S-0.5SH_50_",142.400320,-82.550000,180.000000,bottom
"R1","10K","R_0603_1608Metric",122.300000,-75.100000,90.000000,bottom
"R2","10K","R_0603_1608Metric",159.900000,-74.025000,180.000000,bottom
"R3","10K","R_0603_1608Metric",156.900000,-74.025000,0.000000,bottom
"U1","TCA9517ADGKR","IC_TCA9517ADGKR",158.875000,-79.461048,90.000000,bottom
