Designator,Mid X,Mid Y,Layer,Rotation
"C1",161.900000,-83.025000,bottom,-90.000000
"C2",161.900000,-77.025000,bottom,90.000000
"C3",160.100000,-71.800000,bottom,180.000000
"C4",150.900000,-71.800000,bottom,0.000000
"C5",154.300000,-83.800000,bottom,90.000000
"J1",142.400320,-65.800000,bottom,0.000000
"J2",142.400320,-82.550000,bottom,180.000000
"R1",122.300000,-75.100000,bottom,90.000000
"R2",159.900000,-74.025000,bottom,180.000000
"R3",156.900000,-74.025000,bottom,0.000000
"U1",158.875000,-79.461048,bottom,90.000000
