Ref,Val,Package,PosX,PosY,Rot,Side
"","","tree-spiral",100.000000,-100.000000,0.000000,top
"D1","led_small","LED_0603_1608Metric",100.000000,-100.000000,0.000000,top
"D2","led_small","LED_0603_1608Metric",100.000000,-95.000000,0.000000,top
"D3","led_small","LED_0603_1608Metric",107.000000,-100.000000,90.000000,top
"D4","led_small","LED_0603_1608Metric",100.000000,-108.500000,0.000000,top
"D5","led_small","LED_0603_1608Metric",90.000000,-100.000000,90.000000,top
"D6","led_small","LED_0603_1608Metric",100.000000,-88.000000,0.000000,top
"D7","led_small","LED_0603_1608Metric",114.000000,-100.000000,90.000000,top
"D8","led_small","LED_0603_1608Metric",110.500000,-110.500000,45.000000,top
"D9","led_small","LED_0603_1608Metric",100.000000,-115.500000,0.000000,top
"D10","led_small","LED_0603_1608Metric",88.500000,-112.000000,135.000000,top
"D11","led_small","LED_0603_1608Metric",82.500000,-100.000000,90.000000,top
"D12","led_small","LED_0603_1608Metric",87.000000,-87.000000,45.000000,top
"D13","led_small","LED_0603_1608Metric",100.000000,-81.000000,0.000000,top
"D14","led_small","LED_0603_1608Metric",114.000000,-86.000000,135.000000,top
"D15","led_small","LED_0603_1608Metric",121.000000,-100.000000,90.000000,top
"D16","led_small","LED_0603_1608Metric",115.500000,-115.500000,45.000000,top
"D17","led_small","LED_0603_1608Metric",100.000000,-123.000000,0.000000,top
"D18","led_small","LED_0603_1608Metric",83.500000,-116.500000,135.000000,top
"D19","led_small","LED_0603_1608Metric",75.500000,-100.000000,90.000000,top
"D20","led_small","LED_0603_1608Metric",82.000000,-82.000000,45.000000,top
"D21","led_small","LED_0603_1608Metric",100.000000,-74.000000,0.000000,top
"D22","led_small","LED_0603_1608Metric",119.000000,-81.000000,135.000000,top
"D23","led_small","LED_0603_1608Metric",128.000000,-100.000000,90.000000,top
"D24","led_small","LED_0603_1608Metric",120.500000,-120.500000,45.000000,top
"D25","led_small","LED_0603_1608Metric",100.000000,-130.000000,0.000000,top
"D26","led_small","LED_0603_1608Metric",78.000000,-122.000000,135.000000,top
"D27","led_small","LED_0603_1608Metric",68.500000,-100.000000,90.000000,top
"D28","led_small","LED_0603_1608Metric",77.000000,-77.000000,45.000000,top
"D29","led_small","LED_0603_1608Metric",100.000000,-67.000000,0.000000,top
"D30","led_small","LED_0603_1608Metric",124.000000,-76.000000,135.000000,top
"D31","led_small","LED_0603_1608Metric",135.000000,-100.000000,90.000000,top
"D32","led_small","LED_0603_1608Metric",125.500000,-125.500000,45.000000,top
"D33","led_small","LED_0603_1608Metric",100.000000,-137.000000,0.000000,top
"D34","led_small","LED_0603_1608Metric",73.500000,-126.500000,135.000000,top
"D35","led_small","LED_0603_1608Metric",61.500000,-100.000000,90.000000,top
"D36","led_small","LED_0603_1608Metric",72.000000,-72.000000,45.000000,top
"D37","led_small","LED_0603_1608Metric",100.000000,-60.000000,0.000000,top
"D38","led_small","LED_0603_1608Metric",129.000000,-71.000000,135.000000,top
"D39","led_small","LED_0603_1608Metric",142.000000,-100.000000,90.000000,top
