Designator,Mid X,Mid Y,Layer,Rotation
"",100.000000,-100.000000,top,0.000000
"D1",100.000000,-100.000000,top,0.000000
"D2",100.000000,-95.000000,top,0.000000
"D3",107.000000,-100.000000,top,90.000000
"D4",100.000000,-108.500000,top,0.000000
"D5",90.000000,-100.000000,top,90.000000
"D6",100.000000,-88.000000,top,0.000000
"D7",114.000000,-100.000000,top,90.000000
"D8",110.500000,-110.500000,top,45.000000
"D9",100.000000,-115.500000,top,0.000000
"D10",88.500000,-112.000000,top,135.000000
"D11",82.500000,-100.000000,top,90.000000
"D12",87.000000,-87.000000,top,45.000000
"D13",100.000000,-81.000000,top,0.000000
"D14",114.000000,-86.000000,top,135.000000
"D15",121.000000,-100.000000,top,90.000000
"D16",115.500000,-115.500000,top,45.000000
"D17",100.000000,-123.000000,top,0.000000
"D18",83.500000,-116.500000,top,135.000000
"D19",75.500000,-100.000000,top,90.000000
"D20",82.000000,-82.000000,top,45.000000
"D21",100.000000,-74.000000,top,0.000000
"D22",119.000000,-81.000000,top,135.000000
"D23",128.000000,-100.000000,top,90.000000
"D24",120.500000,-120.500000,top,45.000000
"D25",100.000000,-130.000000,top,0.000000
"D26",78.000000,-122.000000,top,135.000000
"D27",68.500000,-100.000000,top,90.000000
"D28",77.000000,-77.000000,top,45.000000
"D29",100.000000,-67.000000,top,0.000000
"D30",124.000000,-76.000000,top,135.000000
"D31",135.000000,-100.000000,top,90.000000
"D32",125.500000,-125.500000,top,45.000000
"D33",100.000000,-137.000000,top,0.000000
"D34",73.500000,-126.500000,top,135.000000
"D35",61.500000,-100.000000,top,90.000000
"D36",72.000000,-72.000000,top,45.000000
"D37",100.000000,-60.000000,top,0.000000
"D38",129.000000,-71.000000,top,135.000000
"D39",142.000000,-100.000000,top,90.000000
