Ref,Val,Package,PosX,PosY,Rot,Side
"","","tree-spiral-two",100.000000,-100.000000,0.000000,top
"D1","led_small","LED_0603_1608Metric",100.750000,-98.750000,0.000000,top
"D2","led_small","LED_0603_1608Metric",100.000000,-102.800000,180.000000,top
"D3","led_small","LED_0603_1608Metric",96.200000,-100.000000,90.000000,top
"D4","led_small","LED_0603_1608Metric",100.000000,-95.200000,0.000000,top
"D5","led_small","LED_0603_1608Metric",106.000000,-100.000000,-90.000000,top
"D6","led_small","LED_0603_1608Metric",100.000000,-107.000000,180.000000,top
"D7","led_small","LED_0603_1608Metric",94.600000,-105.400000,135.000000,top
"D8","led_small","LED_0603_1608Metric",92.000000,-100.000000,90.000000,top
"D9","led_small","LED_0603_1608Metric",94.000000,-94.000000,45.000000,top
"D10","led_small","LED_0603_1608Metric",100.000000,-91.000000,0.000000,top
"D11","led_small","LED_0603_1608Metric",106.600000,-93.400000,-45.000000,top
"D12","led_small","LED_0603_1608Metric",110.000000,-100.000000,-90.000000,top
"D13","led_small","LED_0603_1608Metric",107.400000,-107.400000,-135.000000,top
"D14","led_small","LED_0603_1608Metric",100.000000,-111.000000,180.000000,top
"D15","led_small","LED_0603_1608Metric",91.800000,-108.200000,135.000000,top
"D16","led_small","LED_0603_1608Metric",88.000000,-100.000000,90.000000,top
"D17","led_small","LED_0603_1608Metric",91.200000,-91.200000,45.000000,top
"D18","led_small","LED_0603_1608Metric",100.000000,-87.000000,0.000000,top
"D19","led_small","LED_0603_1608Metric",109.600000,-90.400000,-45.000000,top
"D20","led_small","LED_0603_1608Metric",114.000000,-100.000000,-90.000000,top
"D21","led_small","LED_0603_1608Metric",110.400000,-110.400000,-135.000000,top
"D22","led_small","LED_0603_1608Metric",100.000000,-115.000000,180.000000,top
"D23","led_small","LED_0603_1608Metric",89.000000,-111.000000,135.000000,top
"D24","led_small","LED_0603_1608Metric",84.000000,-100.000000,90.000000,top
"D25","led_small","LED_0603_1608Metric",88.400000,-88.400000,45.000000,top
"D26","led_small","LED_0603_1608Metric",100.000000,-83.000000,0.000000,top
"D27","led_small","LED_0603_1608Metric",112.400000,-87.600000,-45.000000,top
"D28","led_small","LED_0603_1608Metric",118.000000,-100.000000,-90.000000,top
"D29","led_small","LED_0603_1608Metric",113.100000,-113.100000,-135.000000,top
"D30","led_small","LED_0603_1608Metric",100.000000,-119.000000,180.000000,top
"D31","led_small","LED_0603_1608Metric",86.300000,-113.700000,135.000000,top
"D32","led_small","LED_0603_1608Metric",80.000000,-100.000000,90.000000,top
"D33","led_small","LED_0603_1608Metric",85.500000,-85.500000,45.000000,top
"D34","led_small","LED_0603_1608Metric",100.000000,-79.000000,0.000000,top
"D35","led_small","LED_0603_1608Metric",115.200000,-84.800000,-45.000000,top
"D36","led_small","LED_0603_1608Metric",122.000000,-100.000000,-90.000000,top
"D37","led_small","LED_0603_1608Metric",115.900000,-115.900000,-135.000000,top
