Designator,Mid X,Mid Y,Layer,Rotation
"",100.000000,-100.000000,top,0.000000
"D1",100.750000,-98.750000,top,0.000000
"D2",100.000000,-102.800000,top,180.000000
"D3",96.200000,-100.000000,top,90.000000
"D4",100.000000,-95.200000,top,0.000000
"D5",106.000000,-100.000000,top,-90.000000
"D6",100.000000,-107.000000,top,180.000000
"D7",94.600000,-105.400000,top,135.000000
"D8",92.000000,-100.000000,top,90.000000
"D9",94.000000,-94.000000,top,45.000000
"D10",100.000000,-91.000000,top,0.000000
"D11",106.600000,-93.400000,top,-45.000000
"D12",110.000000,-100.000000,top,-90.000000
"D13",107.400000,-107.400000,top,-135.000000
"D14",100.000000,-111.000000,top,180.000000
"D15",91.800000,-108.200000,top,135.000000
"D16",88.000000,-100.000000,top,90.000000
"D17",91.200000,-91.200000,top,45.000000
"D18",100.000000,-87.000000,top,0.000000
"D19",109.600000,-90.400000,top,-45.000000
"D20",114.000000,-100.000000,top,-90.000000
"D21",110.400000,-110.400000,top,-135.000000
"D22",100.000000,-115.000000,top,180.000000
"D23",89.000000,-111.000000,top,135.000000
"D24",84.000000,-100.000000,top,90.000000
"D25",88.400000,-88.400000,top,45.000000
"D26",100.000000,-83.000000,top,0.000000
"D27",112.400000,-87.600000,top,-45.000000
"D28",118.000000,-100.000000,top,-90.000000
"D29",113.100000,-113.100000,top,-135.000000
"D30",100.000000,-119.000000,top,180.000000
"D31",86.300000,-113.700000,top,135.000000
"D32",80.000000,-100.000000,top,90.000000
"D33",85.500000,-85.500000,top,45.000000
"D34",100.000000,-79.000000,top,0.000000
"D35",115.200000,-84.800000,top,-45.000000
"D36",122.000000,-100.000000,top,-90.000000
"D37",115.900000,-115.900000,top,-135.000000
"D38",100.000000,-122.900000,top,180.000000
"D39",83.400000,-116.600000,top,135.000000
"D40",76.000000,-100.000000,top,90.000000
"D41",82.700000,-82.700000,top,45.000000
"D42",100.000000,-75.000000,top,0.000000
"D43",118.000000,-82.000000,top,-45.000000
"D44",126.000000,-100.000000,top,-90.000000
"D45",118.800000,-118.800000,top,-135.000000
"D46",100.000000,-127.100000,top,180.000000
"D47",80.600000,-119.400000,top,135.000000
"D48",72.000000,-100.000000,top,90.000000
"D49",79.900000,-79.900000,top,45.000000
"D50",100.000000,-71.000000,top,0.000000
"D51",120.900000,-79.100000,top,-45.000000
"D52",130.000000,-100.000000,top,-90.000000
"D53",121.600000,-121.600000,top,-135.000000
"D54",100.000000,-130.900000,top,180.000000
"D55",77.700000,-122.300000,top,135.000000
"D56",68.000000,-100.000000,top,90.000000
"D57",77.000000,-77.000000,top,45.000000
"D58",100.000000,-66.900000,top,0.000000
"D59",123.700000,-76.300000,top,-45.000000
"D60",134.100000,-100.000000,top,-90.000000
"D61",124.400000,-124.400000,top,-135.000000
"D62",100.000000,-134.900000,top,180.000000
"D63",74.900000,-125.100000,top,135.000000
"D64",64.100000,-100.000000,top,90.000000
"D65",74.200000,-74.200000,top,45.000000
"D66",100.000000,-63.000000,top,0.000000
"D67",126.600000,-73.400000,top,-45.000000
"D68",138.000000,-100.000000,top,-90.000000
"D69",127.200000,-127.200000,top,-135.000000
"D70",100.000000,-139.000000,top,180.000000
"D71",72.100000,-127.900000,top,135.000000
"D72",60.000000,-100.000000,top,90.000000
"D73",71.300000,-71.300000,top,45.000000
"D74",100.000000,-59.000000,top,0.000000
"D75",129.300000,-70.700000,top,-45.000000
