Designator,Mid X,Mid Y,Layer,Rotation
"C1",73.500000,-95.500000,top,90.000000
"C2",65.000000,-98.000000,top,180.000000
"C3",73.500000,-98.500000,top,-90.000000
"C4",45.750000,-114.500000,top,-90.000000
"C5",56.500000,-94.500000,top,0.000000
"C6",60.500000,-92.000000,top,0.000000
"C7",43.500000,-114.500000,top,-90.000000
"D1",45.500000,-88.000000,top,90.000000
"D2",45.500000,-84.500000,top,-90.000000
"D3",36.500000,-85.500000,top,180.000000
"D4",58.500000,-84.500000,top,90.000000
"D5",58.500000,-115.500000,top,-90.000000
"J1",52.000000,-86.000000,top,180.000000
"J2",52.000000,-114.000000,top,0.000000
"J3",34.825000,-88.550000,top,0.000000
"J4",40.050000,-88.500000,top,0.000000
"J5",62.000000,-101.230000,top,-90.000000
"Q1",64.500000,-88.000000,top,180.000000
"Q2",64.500000,-112.000000,top,180.000000
"Q3",60.500000,-88.000000,top,180.000000
"Q4",60.500000,-112.000000,top,180.000000
"R1",69.000000,-102.500000,top,90.000000
"R2",70.000000,-102.500000,top,90.000000
"R3",72.000000,-102.500000,top,90.000000
"R4",71.000000,-102.500000,top,90.000000
"R5",67.000000,-83.500000,top,180.000000
"R6",39.500000,-85.500000,top,0.000000
"R7",67.500000,-116.500000,top,180.000000
"R8",67.000000,-84.500000,top,0.000000
"R9",67.500000,-115.500000,top,0.000000
"R10",58.000000,-88.000000,top,-90.000000
"R11",58.000000,-112.000000,top,90.000000
"U1",69.500000,-97.500000,top,0.000000
"U2",62.500000,-84.000000,top,90.000000
"U3",63.000000,-116.000000,top,90.000000
"U4",69.250000,-107.487500,top,0.000000
