Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF/16V","C_0603_1608Metric",73.500000,-95.500000,90.000000,top
"C2","2.2uF/16V","C_0603_1608Metric",65.000000,-98.000000,180.000000,top
"C3","2.2uF/16V","C_0603_1608Metric",73.500000,-98.500000,-90.000000,top
"C4","4.7uF/50V","C_1206_3216Metric",45.750000,-114.500000,-90.000000,top
"C5","1uF/50V","C_1206_3216Metric",56.500000,-94.500000,0.000000,top
"C6","0.1uF/50V","C_1206_3216Metric",60.500000,-92.000000,0.000000,top
"C7","0.1uF/50V","C_1206_3216Metric",43.500000,-114.500000,-90.000000,top
"D1","PESD5V0S1BA","D_SOD-323",45.500000,-88.000000,90.000000,top
"D2","PESD5V0S1BA","D_SOD-323",45.500000,-84.500000,-90.000000,top
"D3","RED","LED_0805_2012Metric",36.500000,-85.500000,180.000000,top
"D4","GREEN","LED_0805_2012Metric",58.500000,-84.500000,90.000000,top
"D5","YELLOW","LED_0805_2012Metric",58.500000,-115.500000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_LCSC_C165948",52.000000,-86.000000,180.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_LCSC_C165948",52.000000,-114.000000,0.000000,top
"J3","Bus Pirate","PinSocket_1x10_P2.54mm_Horizontal",34.825000,-88.550000,0.000000,top
"J4","Bus Pirate","PinSocket_1x10_P2.54mm_Vertical",40.050000,-88.500000,0.000000,top
"J5","LINK","PinHeader_2x08_P2.54mm_Vertical",62.000000,-101.230000,-90.000000,top
"Q1","AO3400A","SOT-23-GSD",64.500000,-88.000000,180.000000,top
"Q2","AO3400A","SOT-23-GSD",64.500000,-112.000000,180.000000,top
"Q3","AO3400A","SOT-23-GSD",60.500000,-88.000000,180.000000,top
"Q4","AO3400A","SOT-23-GSD",60.500000,-112.000000,180.000000,top
"R1","4.7k","R_0402_1005Metric",69.000000,-102.500000,90.000000,top
"R2","4.7k","R_0402_1005Metric",70.000000,-102.500000,90.000000,top
"R3","10k","R_0402_1005Metric",72.000000,-102.500000,90.000000,top
"R4","10k","R_0402_1005Metric",71.000000,-102.500000,90.000000,top
"R5","0R","R_0402_1005Metric",67.000000,-83.500000,180.000000,top
"R6","1k","R_0402_1005Metric",39.500000,-85.500000,0.000000,top
"R7","0R","R_0402_1005Metric",67.500000,-116.500000,180.000000,top
"R8","100k","R_0402_1005Metric",67.000000,-84.500000,0.000000,top
"R9","100k","R_0402_1005Metric",67.500000,-115.500000,0.000000,top
"R10","1k","R_0402_1005Metric",58.000000,-88.000000,-90.000000,top
"R11","1k","R_0402_1005Metric",58.000000,-112.000000,90.000000,top
"U1","PTN5110","QFN-16_EP_2.6x2.6_Pitch0.4mm",69.500000,-97.500000,0.000000,top
"U2","NX20P5090","WLCSP-15_3x5_B1.54_2.56mm_P0.5mm",62.500000,-84.000000,90.000000,top
"U3","NX20P5090","WLCSP-15_3x5_B1.54_2.56mm_P0.5mm",63.000000,-116.000000,90.000000,top
"U4","FUSB302BMPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",69.250000,-107.487500,0.000000,top
