"Designator","Comment","Footprint","LCSC"
"C1","4.7uF/50V","lib:C_1206_3216Metric","C29823"
"C2","4.7uF/50V","lib:C_1206_3216Metric","C29823"
"C3","4.7uF/50V","lib:C_1206_3216Metric","C29823"
"C4","4.7uF/50V","lib:C_1206_3216Metric","C29823"
"C5","4.7uF/50V","lib:C_1206_3216Metric","C29823"
"C6","0.1uF/50V","lib:C_1206_3216Metric","C24497"
"C7","0.1uF/50V","lib:C_1206_3216Metric","C24497"
"D1","PESD5V0S1BA","lib:D_SOD-323","C19224"
"D2","PESD5V0S1BA","lib:D_SOD-323","C19224"
"D3","GREEN","lib:LED_0805_2012Metric","C2297"
"D4","GREEN","lib:LED_0805_2012Metric","C2297"
"D5","GREEN","lib:LED_0805_2012Metric","C2297"
"J1","USB_C_Receptacle_USB2.0_16P","lib:USB_C_Receptacle_LCSC_C165948","C165948"
"J2","USB_C_Receptacle_USB2.0_16P","lib:USB_C_Receptacle_LCSC_C165948","C165948"
"Q1","AO3400A","lib:SOT-23-GSD","C20917"
"Q2","AO3400A","lib:SOT-23-GSD","C20917"
"Q3","AO3400A","lib:SOT-23-GSD","C20917"
"Q4","AO3400A","lib:SOT-23-GSD","C20917"
"Q5","AO4407A","lib:SO-8_3.9x4.9mm_P1.27mm",""
"Q6","AO4407A","lib:SO-8_3.9x4.9mm_P1.27mm",""
"Q7","AO4407A","lib:SO-8_3.9x4.9mm_P1.27mm",""
"Q8","AO4407A","lib:SO-8_3.9x4.9mm_P1.27mm",""
"R1","10k","lib:R_0402_1005Metric","C25744"
"R2","10k","lib:R_0402_1005Metric","C25744"
"R3","10k","lib:R_0402_1005Metric","C25744"
"R4","10k","lib:R_0402_1005Metric","C25744"
"R6","1k","lib:R_0402_1005Metric","C11702"
"R8","100k","lib:R_0402_1005Metric","C25741"
"R9","100k","lib:R_0402_1005Metric","C25741"
"R10","1k","lib:R_0402_1005Metric","C11702"
"R11","1k","lib:R_0402_1005Metric","C11702"
"R12","100k","lib:R_0402_1005Metric","C25741"
"R13","10k","lib:R_0402_1005Metric","C25744"
"R14","10k","lib:R_0402_1005Metric","C25744"
"R15","100k","lib:R_0402_1005Metric","C25741"
"U1","PTN5110","lib:QFN-16_EP_2.6x2.6_Pitch0.4mm","C2674062"
