Comment,Designator,Footprint,LCSC
"10uF,25V,X5R ","C1,C2,C3","tom-passives:C_0603_1608Metric","C96446"
"10uF,10V,X5R ","C18,C19,C20,C21,C22,C23,C24,C25","tom-passives:C_0603_1608Metric","C19702"
"47uF,6.3V,X5R ","C4,C5,C6,C16","tom-passives:C_0805_2012Metric","C16780"
"100nF,16V,X7R ","C7,C10,C11,C12,C13,C14,C15,C17","tom-passives:C_0402_1005Metric","C1525"
"10pF,50V,C0G ","C8,C9","tom-passives:C_0402_1005Metric","C32949"
"WHITE","D1","tom-opto:LED_0603_1608Metric","C2290"
"BLUE","D2","tom-opto:LED_0603_1608Metric","C72041"
"YELLOW","D3","tom-opto:LED_0603_1608Metric","C72038"
"GREEN","D4","tom-opto:LED_0603_1608Metric","C72043"
"USB_C_Receptacle_USB2.0","J1","tom-connectors:USB_C_Receptacle_LCSC_C165948","C709357"
"Conn_01x01","J2,J3,J4,J5","tom-mechanical:MountingHole_3.2mm_M3_DIN965_Pad",""
"VEXT","J6","tom-connectors:PinHeader_1x02_P2.54mm_Vertical",""
"JLCPCB_3.5MM_SOCKET_C18166","J7,J9,J11,J13,J15,J17,J19,J21","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","C18166"
"Conn_01x07","J8,J10,J12,J14,J16,J18,J20,J22","tom-connectors:PinHeader_1x07_P2.54mm_Horizontal_Teardrop",""
"1k","R1,R11,R14,R15","tom-passives:R_0402_1005Metric","C11702"
"4.7k","R10,R12,R13","tom-passives:R_0402_1005Metric","C25900"
"0","R16","tom-passives:R_0402_1005Metric","C17168"
"24k","R2","tom-passives:R_0402_1005Metric","C25769"
"39k","R3","tom-passives:R_0402_1005Metric","C25783"
"10k","R4,R5","tom-passives:R_0402_1005Metric","C25744"
"18k","R6","tom-passives:R_0402_1005Metric","C25762"
"8.2k","R7","tom-passives:R_0402_1005Metric","C25924"
"5.1k","R8,R9","tom-passives:R_0402_1005Metric","C25905"
"SW_DP4T","SW1","tom-mechanical:SW_ALPS_SSSS224100_DP4T",""
"CH348L","U1","tom-semiconductors:LQFP-100_14x14mm_P0.5mm","C2979160"
"LM1117S-ADJ","VR1,VR2,VR3","tom-semiconductors:VREG_LM1117MPX-3.3","C9662"
"8MHz","X1","tom-passives:Crystal_SMD_HC49-SD","C12674"
