Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF,25V,X5R ","C_0603_1608Metric",94.488000,-89.027000,0.000000,top
"C2","10uF,25V,X5R ","C_0603_1608Metric",89.408000,-100.076000,90.000000,top
"C3","10uF,25V,X5R ","C_0603_1608Metric",97.028000,-100.076000,90.000000,top
"C4","47uF,6.3V,X5R ","C_0805_2012Metric",92.202000,-97.536000,180.000000,top
"C5","47uF,6.3V,X5R ","C_0805_2012Metric",91.948000,-112.268000,-90.000000,top
"C6","47uF,6.3V,X5R ","C_0805_2012Metric",99.568000,-112.268000,-90.000000,top
"C7","100nF,16V,X7R ","C_0402_1005Metric",112.776000,-70.104000,90.000000,top
"C8","10pF,50V,C0G ","C_0402_1005Metric",116.840000,-63.985000,90.000000,top
"C9","10pF,50V,C0G ","C_0402_1005Metric",116.840000,-58.420000,-90.000000,top
"C10","100nF,16V,X7R ","C_0402_1005Metric",121.920000,-76.200000,0.000000,top
"C11","100nF,16V,X7R ","C_0402_1005Metric",114.808000,-73.152000,90.000000,top
"C12","100nF,16V,X7R ","C_0402_1005Metric",108.712000,-70.104000,90.000000,top
"C13","100nF,16V,X7R ","C_0402_1005Metric",102.616000,-78.740000,180.000000,top
"C14","100nF,16V,X7R ","C_0402_1005Metric",109.728000,-70.104000,90.000000,top
"C15","100nF,16V,X7R ","C_0402_1005Metric",120.904000,-91.948000,0.000000,top
"C16","47uF,6.3V,X5R ","C_0805_2012Metric",114.046000,-107.061000,-90.000000,top
"C17","100nF,16V,X7R ","C_0402_1005Metric",104.648000,-91.948000,180.000000,top
"C18","10uF,10V,X5R ","C_0603_1608Metric",153.162000,-102.362000,0.000000,top
"C19","10uF,10V,X5R ","C_0603_1608Metric",154.432000,-43.180000,180.000000,top
"C20","10uF,10V,X5R ","C_0603_1608Metric",130.810000,-44.958000,180.000000,top
"C21","10uF,10V,X5R ","C_0603_1608Metric",73.152000,-43.180000,-90.000000,top
"C22","10uF,10V,X5R ","C_0603_1608Metric",71.501000,-65.024000,180.000000,top
"C23","10uF,10V,X5R ","C_0603_1608Metric",71.755000,-124.460000,0.000000,top
"C24","10uF,10V,X5R ","C_0603_1608Metric",94.234000,-124.206000,-90.000000,top
"C25","10uF,10V,X5R ","C_0603_1608Metric",153.924000,-124.968000,90.000000,top
"D1","WHITE","LED_0603_1608Metric",151.130000,-91.440000,180.000000,top
"D2","BLUE","LED_0603_1608Metric",151.130000,-76.200000,0.000000,top
"D3","YELLOW","LED_0603_1608Metric",70.358000,-80.010000,0.000000,top
"D4","GREEN","LED_0603_1608Metric",70.358000,-87.630000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_LCSC_C165948",153.670000,-83.820000,90.000000,top
"J6","VEXT","PinHeader_1x02_P2.54mm_Vertical",112.776000,-103.383000,180.000000,top
"J7","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",157.480000,-96.520000,180.000000,top
"J8","Conn_01x07","PinHeader_1x07_P2.54mm_Horizontal_Teardrop",154.940000,-105.410000,0.000000,top
