Comment,Designator,Footprint,LCSC
"10uF,25V,X5R ","C1","tom-passives:C_0603_1608Metric","C96446"
"10uF,10V,X5R ","C13,C14,C15,C16,C17,C18,C19,C20","tom-passives:C_0603_1608Metric","C19702"
"47uF,6.3V,X5R ","C2","tom-passives:C_0805_2012Metric","C16780"
"100nF,16V,X7R ","C3,C6,C7,C8,C9,C10,C11,C12","tom-passives:C_0402_1005Metric","C1525"
"10pF,50V,C0G ","C4,C5","tom-passives:C_0402_1005Metric","C32949"
"WHITE","D1","tom-opto:LED_0603_1608Metric","C2290"
"BLUE","D2","tom-opto:LED_0603_1608Metric","C72041"
"YELLOW","D3","tom-opto:LED_0603_1608Metric","C72038"
"GREEN","D4","tom-opto:LED_0603_1608Metric","C72043"
"USB_C_Receptacle_USB2.0","J1","tom-connectors:USB_C_Receptacle_LCSC_C165948","C709357"
"Conn_01x01","J2,J3,J4,J5","tom-mechanical:MountingHole_3.2mm_M3_DIN965_Pad",""
"Conn_01x16","J22,J23","tom-connectors:PinHeader_1x16_P2.54mm_Horizontal","C725908"
"JLCPCB_3.5MM_SOCKET_C18166","J6,J8,J10,J12,J14,J16,J18,J20","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","C18166"
"2.4k","R1","R_0402_1005Metric","C25882"
"5.1k","R2,R3","tom-passives:R_0402_1005Metric","C25905"
"4.7k","R4,R6,R7","tom-passives:R_0402_1005Metric","C25900"
"1k","R5,R8","tom-passives:R_0402_1005Metric","C11702"
"1.5k","R9","R_0402_1005Metric","C25867"
"CH348L","U1","tom-semiconductors:LQFP-100_14x14mm_P0.5mm","C2979160"
"LM1117S-ADJ","VR1","tom-semiconductors:VREG_LM1117MPX-3.3","C9662"
"8MHz","X1","tom-passives:Crystal_SMD_HC49-SD","C12674"
