Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF,25V,X5R ","C_0603_1608Metric",130.800000,-91.900000,0.000000,top
"C2","47uF,6.3V,X5R ","C_0805_2012Metric",131.577000,-83.398000,0.000000,top
"C3","100nF,16V,X7R ","C_0402_1005Metric",111.800000,-73.484000,180.000000,top
"C4","10pF,50V,C0G ","C_0402_1005Metric",117.100000,-73.915000,-90.000000,top
"C5","10pF,50V,C0G ","C_0402_1005Metric",106.900000,-73.915000,-90.000000,top
"C6","100nF,16V,X7R ","C_0402_1005Metric",123.200000,-77.800000,0.000000,top
"C7","100nF,16V,X7R ","C_0402_1005Metric",114.900000,-73.915000,90.000000,top
"C8","100nF,16V,X7R ","C_0402_1005Metric",108.284000,-73.915000,90.000000,top
"C9","100nF,16V,X7R ","C_0402_1005Metric",102.616000,-78.740000,180.000000,top
"C10","100nF,16V,X7R ","C_0402_1005Metric",109.300000,-73.915000,90.000000,top
"C11","100nF,16V,X7R ","C_0402_1005Metric",120.904000,-91.948000,0.000000,top
"C12","100nF,16V,X7R ","C_0402_1005Metric",104.648000,-91.948000,180.000000,top
"C13","10uF,10V,X5R ","C_0603_1608Metric",121.500000,-68.500000,0.000000,top
"C14","10uF,10V,X5R ","C_0603_1608Metric",126.500000,-69.650000,90.000000,top
"C15","10uF,10V,X5R ","C_0603_1608Metric",134.100000,-68.800000,180.000000,top
"C16","10uF,10V,X5R ","C_0603_1608Metric",149.550000,-70.087500,-90.000000,top
"C17","10uF,10V,X5R ","C_0603_1608Metric",70.800000,-69.600000,180.000000,top
"C18","10uF,10V,X5R ","C_0603_1608Metric",90.400000,-69.600000,90.000000,top
"C19","10uF,10V,X5R ","C_0603_1608Metric",94.900000,-69.600000,90.000000,top
"C20","10uF,10V,X5R ","C_0603_1608Metric",100.200000,-69.650000,90.000000,top
"D1","WHITE","LED_0603_1608Metric",132.300000,-80.300000,180.000000,top
"D2","BLUE","LED_0603_1608Metric",70.358000,-80.010000,0.000000,top
"D3","YELLOW","LED_0603_1608Metric",70.358000,-83.820000,0.000000,top
"D4","GREEN","LED_0603_1608Metric",70.358000,-87.630000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_LCSC_C165948",153.670000,-83.820000,90.000000,top
"J6","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",118.580000,-104.277500,90.000000,top
"J8","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",128.580000,-104.277500,90.000000,top
"J10","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",138.580000,-104.277500,90.000000,top
"J12","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",148.580000,-104.277500,90.000000,top
"J14","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",78.580000,-104.277500,90.000000,top
"J16","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",88.580000,-104.277500,90.000000,top
"J18","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",98.580000,-104.277500,90.000000,top
"J20","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",108.580000,-104.277500,90.000000,top
"J22","Conn_01x16","PinHeader_1x16_P2.54mm_Horizontal",73.025000,-65.600000,90.000000,top
"J23","Conn_01x16","PinHeader_1x16_P2.54mm_Horizontal",114.935000,-65.600000,90.000000,top
"R1","2.4k","R_0402_1005Metric",129.760000,-80.300000,0.000000,top
"R2","5.1k","R_0402_1005Metric",154.940000,-90.170000,0.000000,top
"R3","5.1k","R_0402_1005Metric",154.940000,-77.470000,180.000000,top
"R4","4.7k","R_0402_1005Metric",111.800000,-74.500000,0.000000,top
"R5","1k","R_0402_1005Metric",72.898000,-80.010000,180.000000,top
"R6","4.7k","R_0402_1005Metric",125.476000,-80.264000,180.000000,top
"R7","4.7k","R_0402_1005Metric",116.000000,-73.915000,-90.000000,top
"R8","1k","R_0402_1005Metric",72.898000,-83.820000,180.000000,top
"R9","1.5k","R_0402_1005Metric",72.898000,-87.630000,0.000000,top
"U1","CH348L","LQFP-100_14x14mm_P0.5mm",113.030000,-83.820000,-90.000000,top
"VR1","LM1117S-ADJ","VREG_LM1117MPX-3.3",127.640000,-86.700000,90.000000,top
"X1","8MHz","Crystal_SMD_HC49-SD",113.030000,-70.300000,180.000000,top
