Comment,Designator,Footprint,LCSC
"1uF,50V,X5R ","C1","tom-passives:C_0603_1608Metric","C15849"
"100nF,50V,X7R ","C2","tom-passives:C_0603_1608Metric","C14663"
"10uF,25V,X5R ","C3,C5","tom-passives:C_0603_1608Metric","C96446"
"10uF,10V,X5R ","C4","C_0603_1608Metric","C19702"
"MB10S","D1","tom-semiconductors:Diode_Bridge_MBnnS","C2488"
"LED","D2","tom-opto:LED_0805_2012Metric","C34499"
"LED_RGBA","D7","tom-opto:LED_D5.0mm-4_RGB",""
"100mA","F1","tom-passives:Fuse_2410",""
"Thermal","F2","tom-passives:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"PCB OUTLINE","H1","tom-mechanical:PCB_ALIEXPRESS_PLUGPACK_1",""
"Conn_01x04","J1","tom-connectors:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x04","J2","tom-connectors:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",""
"Conn_01x02","J3","tom-connectors:PinHeader_1x02_P2.54mm_Vertical",""
"10k","R1,R3,R4,R5,R8,R9,R10,R12","tom-passives:R_0603_1608Metric","C25804"
"330","R14,R15","tom-passives:R_0603_1608Metric","C23138"
"0","R16,R19,R20","tom-passives:R_0603_1608Metric","C21189"
"1k","R2,R6,R7,R11","tom-passives:R_0603_1608Metric","C21190"
"MOV-10D561K","RV1","tom-passives:RV_Disc_D12mm_W3.9mm_P7.5mm",""
"LTV-826S","U1,U4","tom-semiconductors:DIP-8_W8.89mm_SMDSocket_LongPads",""
"ESP-12","U2","tom-modules:ESP-12E_SMD","C82891"
"74LVC1G125","U5","tom-semiconductors:SOT-23-5","C23654"
"HLK-PM01/03","X1","tom-modules:HLK-PMxx",""
