"Source:","/home/tom/git/TomKeddie/prj-pcb-experiments/ft4232h-breakout/v3.x/ft4232h-breakout.kicad_sch"
"Date:","Thu 19 May 2022 01:47:25 PM"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"","","C1","10uF_10V_X5R ","jlcpcb-basic-capacitor-0603:10uF_10V_X5R ","tom-passives:C_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf","","","C19702","","","Samsung Electro-Mechanics","CL10A106KP8NNNC","","",""
"","","C2","10uF_10V_X5R ","jlcpcb-basic-capacitor-0603:10uF_10V_X5R ","tom-passives:C_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf","","","C19702","","","Samsung Electro-Mechanics","CL10A106KP8NNNC","","",""
"","","C3","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C4","20pF_50V_C0G ","jlcpcb-basic-capacitor-0402:20pF_50V_C0G ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf","","","C1554","","","FH(Guangdong Fenghua Advanced Tech)","0402CG200J500NT","","",""
"","","C5","4.7uF_10V_X5R ","jlcpcb-basic-capacitor-0402:4.7uF_10V_X5R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191211_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf","","","C23733","","","Samsung Electro-Mechanics","CL05A475MP5NRNC","","",""
"","","C6","20pF_50V_C0G ","jlcpcb-basic-capacitor-0402:20pF_50V_C0G ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf","","","C1554","","","FH(Guangdong Fenghua Advanced Tech)","0402CG200J500NT","","",""
"","","C7","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C8","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C9","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C10","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C11","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C12","10nF_50V_X7R ","jlcpcb-basic-capacitor-0402:10nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191223_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf","","","C15195","","","Samsung Electro-Mechanics","CL05B103KB5NNNC","","",""
"","","C13","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C14","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"","","C15","4.7uF_10V_X5R ","jlcpcb-basic-capacitor-0402:4.7uF_10V_X5R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191211_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf","","","C23733","","","Samsung Electro-Mechanics","CL05A475MP5NRNC","","",""
