Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF_10V_X5R ","C_0603_1608Metric",123.672500,-88.900000,180.000000,top
"C2","10uF_10V_X5R ","C_0603_1608Metric",130.325000,-83.820000,0.000000,top
"C3","100nF_50V_X7R ","C_0402_1005Metric",97.005000,-105.410000,180.000000,top
"C4","20pF_50V_C0G ","C_0402_1005Metric",93.980000,-84.305000,90.000000,top
"C5","4.7uF_10V_X5R ","C_0402_1005Metric",110.490000,-93.980000,0.000000,top
"C6","20pF_50V_C0G ","C_0402_1005Metric",101.600000,-85.575000,-90.000000,top
"C7","100nF_50V_X7R ","C_0402_1005Metric",110.490000,-95.250000,180.000000,top
"C8","100nF_50V_X7R ","C_0402_1005Metric",110.490000,-92.710000,180.000000,top
"C9","100nF_50V_X7R ","C_0402_1005Metric",95.250000,-104.140000,0.000000,top
"C10","100nF_50V_X7R ","C_0402_1005Metric",130.325000,-81.280000,180.000000,top
"C11","100nF_50V_X7R ","C_0402_1005Metric",106.680000,-101.600000,180.000000,top
"C12","10nF_50V_X7R ","C_0402_1005Metric",125.730000,-77.470000,0.000000,top
"C13","100nF_50V_X7R ","C_0402_1005Metric",106.703000,-91.186000,180.000000,top
"C14","100nF_50V_X7R ","C_0402_1005Metric",92.225000,-100.330000,0.000000,top
"C15","4.7uF_10V_X5R ","C_0402_1005Metric",92.710000,-83.820000,90.000000,top
"C16","100nF_50V_X7R ","C_0402_1005Metric",95.250000,-87.630000,0.000000,top
"C17","4.7uF_10V_X5R ","C_0402_1005Metric",91.440000,-90.170000,180.000000,top
"C18","100nF_50V_X7R ","C_0402_1005Metric",91.440000,-91.440000,0.000000,top
"C19","100nF_50V_X7R ","C_0402_1005Metric",102.870000,-104.140000,90.000000,top
"C20","100nF_50V_X7R ","C_0402_1005Metric",90.655000,-92.710000,0.000000,top
"C21","100nF_50V_X7R ","C_0402_1005Metric",104.140000,-87.630000,180.000000,top
"C22","100nF_50V_X7R ","C_0402_1005Metric",107.950000,-82.550000,-90.000000,top
"D1","LED","LED_0603_1608Metric",100.000000,-73.100000,0.000000,top
"D2","TXA","LED_0603_1608Metric",61.270000,-110.490000,0.000000,top
"D3","RXA","LED_0603_1608Metric",61.270000,-108.585000,0.000000,top
"D4","TXB","LED_0603_1608Metric",81.890000,-126.000000,90.000000,top
"D5","RXB","LED_0603_1608Metric",83.795000,-126.000000,90.000000,top
"D6","TXC","LED_0603_1608Metric",118.110000,-126.000000,90.000000,top
"D7","RXC","LED_0603_1608Metric",116.205000,-126.000000,90.000000,top
"D8","TXD","LED_0603_1608Metric",138.730000,-110.490000,180.000000,top
"D9","RXD","LED_0603_1608Metric",138.730000,-108.585000,180.000000,top
"FB1","500mA/600R","C_0805_2012Metric",87.630000,-88.900000,0.000000,top
"FB2","500mA/600R","C_0805_2012Metric",97.790000,-81.280000,180.000000,top
"FB3","500mA/600R","C_0805_2012Metric",125.730000,-74.930000,0.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",67.000000,-105.080000,180.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",133.000000,-100.000000,0.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",112.385000,-120.300000,-90.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",92.695000,-120.300000,-90.000000,top
"J5","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",140.400000,-115.000000,180.000000,top
"J6","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",123.000000,-127.700000,90.000000,top
"J7","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",77.000000,-127.700000,90.000000,top
"J8","JLCPCB_3.5MM_SOCKET_C18166","JLCPCB_3.5MM_SOCKET_C18166",59.600000,-115.000000,0.000000,top
"J9","USB_B_Micro","USB_B_Micro_LCSC_C10418",109.830000,-71.620000,180.000000,top
"J10","USB_C_Receptacle_USB2.0","USB_C_Receptacle_LCSC_C165948",90.170000,-75.400000,180.000000,top
"R1","10","R_0402_1005Metric",92.710000,-86.360000,-45.000000,top
"R2","330","R_0402_1005Metric",64.102500,-110.490000,180.000000,top
"R3","330","R_0402_1005Metric",64.102500,-108.585000,180.000000,top
"R4","330","R_0402_1005Metric",81.915000,-123.000000,-90.000000,top
"R5","330","R_0402_1005Metric",83.820000,-123.000000,-90.000000,top
"R6","330","R_0402_1005Metric",118.110000,-123.000000,-90.000000,top
"R7","330","R_0402_1005Metric",116.205000,-123.000000,-90.000000,top
"R8","330","R_0402_1005Metric",136.047500,-110.490000,0.000000,top
"R9","330","R_0402_1005Metric",135.897500,-108.585000,0.000000,top
"R10","10k","R_0402_1005Metric",115.570000,-88.115000,-90.000000,top
"R11","10","R_0402_1005Metric",91.440000,-87.630000,135.000000,top
"R12","15k","R_0402_1005Metric",129.540000,-87.630000,-90.000000,top
"R13","10k","R_0402_1005Metric",129.540000,-90.170000,-90.000000,top
"R14","12k","R_0402_1005Metric",90.955000,-93.980000,0.000000,top
"R15","10k","R_0402_1005Metric",118.110000,-74.930000,-90.000000,top
"R16","2.2k","R_0402_1005Metric",118.110000,-79.225000,-90.000000,top
"R17","10k","R_0402_1005Metric",119.380000,-74.930000,-90.000000,top
"R18","10k","R_0402_1005Metric",120.650000,-74.930000,-90.000000,top
"R19","0","R_0402_1005Metric",111.760000,-88.115000,90.000000,top
"R20","0","R_0402_1005Metric",113.030000,-88.115000,90.000000,top
"R21","0","R_0402_1005Metric",114.300000,-88.115000,90.000000,top
"R22","330","R_0402_1005Metric",102.870000,-73.100000,180.000000,top
"R23","5.1k","R_0402_1005Metric",83.820000,-74.930000,90.000000,top
"R24","5.1k","R_0402_1005Metric",92.710000,-81.280000,0.000000,top
"U1","74HC595","SOIC-16_4.55x10.3mm_P1.27mm",100.000000,-111.760000,90.000000,top
"U2","FT4232H","TQFP-64_10x10mm_P0.5mm",100.000000,-96.000000,-45.000000,top
"U3","AT93C46DN-SH-T","SO-8_3.9x4.9mm_P1.27mm",113.030000,-81.280000,180.000000,top
"VR1","LM1117MPX-3.3","VREG_LM1117MPX-3.3",124.460000,-82.550000,90.000000,top
"X1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.790000,-85.090000,0.000000,top
