"Comment","Designator"
"18pF","C2,C5"
"0.1uF/6.3V","C1,C3,C4,C6,C8,C11,C12,C13,C14,C15,C17,C20"
"10uF/10V","C9"
"1uF/6.3V","C7,C16,C18"
"1550Z109","H1"
"mech-only-no-pins","H2,H3,H4,H5"
"Conn_01x02","J2,J3"
"USB_C_Receptacle_USB2.0","J1"
"AO3400A","Q1"
"22R","R15,R16"
"470R","R5,R6,R7,R8,R9,R10"
"5.1k","R13,R14"
"10k","R1,R2,R3,R4,R11,R12"
"Switch_SW_Push","SW1,SW8"
"Switch_SW_Push","SW2,SW3,SW4,SW5,SW6,SW7"
"AP2112K-3.3","U10"
"ATmega32U4-MU","U1"
"IE096HQ1301CL","U3,U4,U5,U6,U7,U8"
"W25Q128JVS","U11"
"16MHz","X1"
