Ref,Val,Package,PosX,PosY,Rot,Side
"F1","100mA/250mA","C_1206_3216Metric",28.000000,-38.000000,180.000000,bottom
"F2","100mA/250mA","C_1206_3216Metric",1.000000,-38.000000,180.000000,bottom
"F3","100mA/250mA","C_1206_3216Metric",-26.000000,-38.000000,180.000000,bottom
"F4","100mA/250mA","C_1206_3216Metric",-38.000000,-28.000000,270.000000,bottom
"F5","100mA/250mA","C_1206_3216Metric",-38.000000,-1.000000,270.000000,bottom
"F6","100mA/250mA","C_1206_3216Metric",-38.000000,26.000000,270.000000,bottom
"F7","100mA/250mA","C_1206_3216Metric",-25.000000,-22.000000,90.000000,bottom
"F8","100mA/250mA","C_1206_3216Metric",-25.000000,0.000000,90.000000,bottom
"F9","100mA/250mA","C_1206_3216Metric",-25.000000,22.000000,90.000000,bottom
"F10","100mA/250mA","C_1206_3216Metric",-28.000000,38.000000,0.000000,bottom
"F11","100mA/250mA","C_1206_3216Metric",-1.000000,38.000000,0.000000,bottom
"F12","100mA/250mA","C_1206_3216Metric",26.000000,38.000000,0.000000,bottom
"F13","100mA/250mA","C_1206_3216Metric",38.000000,12.000000,90.000000,bottom
"F14","100mA/250mA","C_1206_3216Metric",38.000000,-12.000000,90.000000,bottom
"F15","100mA/250mA","C_1206_3216Metric",-10.000000,-22.000000,90.000000,bottom
"F16","100mA/250mA","C_1206_3216Metric",-10.000000,0.000000,90.000000,bottom
"F17","100mA/250mA","C_1206_3216Metric",-10.000000,22.000000,90.000000,bottom
"F18","100mA/250mA","C_1206_3216Metric",5.000000,-22.000000,90.000000,bottom
"F19","100mA/250mA","C_1206_3216Metric",5.000000,0.000000,90.000000,bottom
"F20","100mA/250mA","C_1206_3216Metric",5.000000,22.000000,90.000000,bottom
"F21","100mA/250mA","C_1206_3216Metric",20.000000,-22.000000,90.000000,bottom
"F22","100mA/250mA","C_1206_3216Metric",20.000000,0.000000,90.000000,bottom
"F23","100mA/250mA","C_1206_3216Metric",20.000000,22.000000,90.000000,bottom
"F24","100mA/250mA","C_1206_3216Metric",27.500000,-22.000000,90.000000,bottom
"F25","100mA/250mA","C_1206_3216Metric",27.500000,0.000000,90.000000,bottom
"F26","100mA/250mA","C_1206_3216Metric",27.500000,22.000000,90.000000,bottom
"R1","1K","C_0805_2012Metric",39.500000,-31.000000,270.000000,bottom
"R2","1K","C_0805_2012Metric",39.500000,31.000000,90.000000,bottom
