Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","JLCPCB_SIDE_C409529",91.000000,-140.000000,0.000000,bottom
"D2","LED","JLCPCB_SIDE_C409529",86.000000,-140.000000,180.000000,bottom
"D3","LED","JLCPCB_SIDE_C409529",105.171751,-129.828249,135.000000,bottom
"D4","LED","JLCPCB_SIDE_C409529",115.707107,-123.207107,135.000000,bottom
"D5","LED","JLCPCB_SIDE_C409529",129.450000,-117.500000,90.000000,bottom
"D6","LED","JLCPCB_SIDE_C409529",88.000000,-120.500000,-135.000000,bottom
"D7","LED","JLCPCB_SIDE_C409529",69.970000,-131.000000,0.000000,bottom
"D8","LED","JLCPCB_SIDE_C409529",115.500000,-109.000000,90.000000,bottom
"D9","LED","JLCPCB_SIDE_C409529",104.707107,-112.707107,135.000000,bottom
"D10","LED","JLCPCB_SIDE_C409529",133.500000,-98.500000,180.000000,bottom
"D11","LED","JLCPCB_SIDE_C409529",69.985000,-86.949999,0.000000,bottom
"D12","LED","JLCPCB_SIDE_C409529",89.000000,-98.500000,0.000000,bottom
"D13","LED","JLCPCB_SIDE_C409529",128.500000,-69.000000,135.000000,bottom
"D14","LED","JLCPCB_SIDE_C409529",114.500000,-73.050000,180.000000,bottom
"D15","LED","JLCPCB_SIDE_C409529",116.550001,-55.500000,-90.000000,bottom
"D16","LED","JLCPCB_SIDE_C409529",91.328249,-81.171751,-45.000000,bottom
"D17","LED","JLCPCB_SIDE_C409529",108.671751,-59.828249,145.000000,bottom
"D18","LED","JLCPCB_SIDE_C409529",72.000000,-64.949999,0.000000,bottom
"D19","LED","JLCPCB_SIDE_C409529",106.000000,-86.000000,135.000000,bottom
"D20","LED","JLCPCB_SIDE_C409529",120.000000,-74.500000,-90.000000,bottom
"D21","LED","JLCPCB_SIDE_C409529",97.500000,-63.000000,-90.000000,bottom
"D22","LED","JLCPCB_SIDE_C409529",74.500000,-75.000000,-45.000000,bottom
"D23","LED","JLCPCB_SIDE_C409529",115.000000,-89.500000,-45.000000,bottom
"D24","LED","JLCPCB_SIDE_C409529",130.000000,-79.000000,-90.000000,bottom
"D25","LED","JLCPCB_SIDE_C409529",101.828249,-100.328249,45.000000,bottom
"D26","LED","JLCPCB_SIDE_C409529",70.000000,-101.633332,0.000000,bottom
"D27","LED","JLCPCB_SIDE_C409529",70.000000,-116.316665,0.000000,bottom
"D28","LED","JLCPCB_SIDE_C409529",83.500000,-55.500000,-45.000000,bottom
"D29","LED","JLCPCB_SIDE_C409529",81.500000,-72.500000,45.000000,bottom
"R1","220","R_0402_1005Metric",89.000000,-139.000000,0.000000,bottom
"R2","220","R_0402_1005Metric",88.000000,-141.000000,180.000000,bottom
"R3","220","R_0402_1005Metric",106.000000,-132.000000,135.000000,bottom
"R4","220","R_0402_1005Metric",116.500000,-125.500000,135.000000,bottom
"R5","220","R_0402_1005Metric",126.500000,-119.500000,90.000000,bottom
"R6","220","R_0402_1005Metric",90.000000,-119.500000,-135.000000,bottom
"R7","220","R_0402_1005Metric",67.985000,-130.000000,0.000000,bottom
"R8","220","R_0402_1005Metric",114.500000,-111.000000,90.000000,bottom
"R9","220","R_0402_1005Metric",105.500000,-114.500000,135.000000,bottom
"R10","220","R_0402_1005Metric",135.500000,-99.500000,180.000000,bottom
"R11","220","R_0402_1005Metric",67.985000,-86.000000,0.000000,bottom
"R12","220","R_0402_1005Metric",87.000000,-97.500000,0.000000,bottom
"R13","220","R_0402_1005Metric",129.000000,-71.000000,135.000000,bottom
"R14","220","R_0402_1005Metric",116.515000,-74.000000,180.000000,bottom
"R15","220","R_0402_1005Metric",116.500000,-54.000000,0.000000,bottom
"R16","220","R_0402_1005Metric",90.500000,-80.000000,45.000000,bottom
"R17","220","R_0402_1005Metric",107.500000,-62.000000,135.000000,bottom
"R18","220","R_0402_1005Metric",70.500000,-65.000000,90.000000,bottom
"R19","220","R_0402_1005Metric",106.842947,-87.842947,135.000000,bottom
"R20","220","R_0402_1005Metric",121.000000,-71.000000,-90.000000,bottom
"R21","220","R_0402_1005Metric",100.500000,-62.500000,180.000000,bottom
"R22","220","R_0402_1005Metric",74.000000,-73.000000,-45.000000,bottom
"R23","220","R_0402_1005Metric",114.657053,-87.157053,-45.000000,bottom
"R24","220","R_0402_1005Metric",131.000000,-77.000000,-90.000000,bottom
"R25","220","R_0402_1005Metric",100.000000,-101.500000,90.000000,bottom
"R26","220","R_0402_1005Metric",68.015000,-101.000000,0.000000,bottom
"R27","220","R_0402_1005Metric",68.000000,-115.500000,0.000000,bottom
"R28","220","R_0402_1005Metric",86.000000,-54.000000,180.000000,bottom
"R29","220","R_0402_1005Metric",79.000000,-73.000000,45.000000,bottom
"X1","Badgelife_sao_connector_v169bis","Badgelife-SAOv169-SAO-2x3-SMD-BIGPADS",110.500000,-141.000000,180.000000,bottom
