Designator,Mid X,Mid Y,Layer,Rotation
"D1",91.000000,-140.000000,bottom,0.000000
"D2",86.000000,-140.000000,bottom,180.000000
"D3",105.171751,-129.828249,bottom,135.000000
"D4",115.707107,-123.207107,bottom,135.000000
"D5",129.450000,-117.500000,bottom,90.000000
"D6",88.000000,-120.500000,bottom,-135.000000
"D7",69.970000,-131.000000,bottom,0.000000
"D8",115.500000,-109.000000,bottom,90.000000
"D9",104.707107,-112.707107,bottom,135.000000
"D10",133.500000,-98.500000,bottom,180.000000
"D11",69.985000,-86.949999,bottom,0.000000
"D12",89.000000,-98.500000,bottom,0.000000
"D13",128.500000,-69.000000,bottom,135.000000
"D14",114.500000,-73.050000,bottom,180.000000
"D15",116.550001,-55.500000,bottom,-90.000000
"D16",91.328249,-81.171751,bottom,-45.000000
"D17",108.671751,-59.828249,bottom,145.000000
"D18",72.000000,-64.949999,bottom,0.000000
"D19",106.000000,-86.000000,bottom,135.000000
"D20",120.000000,-74.500000,bottom,-90.000000
"D21",97.500000,-63.000000,bottom,-90.000000
"D22",74.500000,-75.000000,bottom,-45.000000
"D23",115.000000,-89.500000,bottom,-45.000000
"D24",130.000000,-79.000000,bottom,-90.000000
"D25",101.828249,-100.328249,bottom,45.000000
"D26",70.000000,-101.633332,bottom,0.000000
"D27",70.000000,-116.316665,bottom,0.000000
"D28",83.500000,-55.500000,bottom,-45.000000
"D29",81.500000,-72.500000,bottom,45.000000
"R1",89.000000,-139.000000,bottom,0.000000
"R2",88.000000,-141.000000,bottom,180.000000
"R3",106.000000,-132.000000,bottom,135.000000
"R4",116.500000,-125.500000,bottom,135.000000
"R5",126.500000,-119.500000,bottom,90.000000
"R6",90.000000,-119.500000,bottom,-135.000000
"R7",67.985000,-130.000000,bottom,0.000000
"R8",114.500000,-111.000000,bottom,90.000000
"R9",105.500000,-114.500000,bottom,135.000000
"R10",135.500000,-99.500000,bottom,180.000000
"R11",67.985000,-86.000000,bottom,0.000000
"R12",87.000000,-97.500000,bottom,0.000000
"R13",129.000000,-71.000000,bottom,135.000000
"R14",116.515000,-74.000000,bottom,180.000000
"R15",116.500000,-54.000000,bottom,0.000000
"R16",90.500000,-80.000000,bottom,45.000000
"R17",107.500000,-62.000000,bottom,135.000000
"R18",70.500000,-65.000000,bottom,90.000000
"R19",106.842947,-87.842947,bottom,135.000000
"R20",121.000000,-71.000000,bottom,-90.000000
"R21",100.500000,-62.500000,bottom,180.000000
"R22",74.000000,-73.000000,bottom,-45.000000
"R23",114.657053,-87.157053,bottom,-45.000000
"R24",131.000000,-77.000000,bottom,-90.000000
"R25",100.000000,-101.500000,bottom,90.000000
"R26",68.015000,-101.000000,bottom,0.000000
"R27",68.000000,-115.500000,bottom,0.000000
"R28",86.000000,-54.000000,bottom,180.000000
"R29",79.000000,-73.000000,bottom,45.000000
"X1",110.500000,-141.000000,bottom,180.000000
